PMID,Sentence,MeSH Term Found,Title/Abstract
39188299,"Fullerenes are a class of carbon nanomaterials that find a wide range of applications in biomedical fields, especially for photodynamic cancer therapy because of its photosensitive effect.",Noma,Abstract
39184958,Effects of central intermittent theta-burst stimulation combined with repetitive peripheral magnetic stimulation on upper limb function in stroke patients.,Stroke,Title
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Diabetes Mellitus,Abstract
39183774,Changes in Alcohol-Specific Mortality During the COVID-19 Pandemic in 14 European Countries.,COVID-19,Title
39183774,Exploring trends in 1) alcohol-specific mortality and 2) alcohol sales in European countries in the years before and during the COVID-19 pandemic.,COVID-19,Abstract
39181667,"In this study, we took advantage of the dramatic decline of outdoor anthropogenic activities resulting from COVID-19 lockdown to reveal their associations.",COVID-19,Abstract
39171285,"The coronavirus disease 2019 (COVID-19) pandemic has been ongoing for more than 3 years, with an enormous impact on global health and economies.",Disease,Abstract
39171285,Long COVID may exist in patients with both mild and severe disease and is prevalent after infection with different SARS-CoV-2 variants.,Disease,Abstract
39171284,"Asian, regional, and national burdens of respiratory tract cancers and associated risk factors from 1990 to 2019: A systematic analysis for the global burden of disease study 2019.",Disease,Title
39171284,"Respiratory cancer is the leading cause of cancer-related deaths worldwide, but its statistics vary between the East and West.",Death,Abstract
39171280,"In late March 2022, an outbreak of coronavirus disease 2019 (COVID-19) caused by the Omicron BA.2 strain occurred in Shanghai, China.",Disease,Abstract
39171280,"This retrospective study aimed to investigate the clinical characteristics, laboratory parameters, and vaccine protectiveness related to this disease in China.",Disease,Abstract
39171279,"Pathogenesis, pathological characteristics and individualized therapy for immune-related adverse effects.",Tics,Title
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Disease,Title
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Disease,Abstract
39170080,Studies that show how empire influenced the development of plant genetics add to the established history of genetics and 20th-century agricultural science.,Tics,Abstract
39165674,"These fields investigate how physical factors induced by cell adhesion and collective behaviors can directly regulate biologic processes, such as organ development and disease progression.",Disease,Abstract
39165415,The Broad Spectrum of Gallbladder Paraneoplastic Syndromes.,Paraneoplastic Syndromes,Title
39165415,"Gallbladder carcinoma (GBC) is a rare gastrointestinal tumor with a reported incidence of 1 in 100,000 in the United States.",Carcinoma,Abstract
39165415,Several paraneoplastic syndromes have been associated with GBC.,Paraneoplastic Syndromes,Abstract
39165415,"Despite their strong associations with neoplastic disease, the precise pathophysiologic mechanisms underlying the development of these syndromes remain poorly understood.",Disease,Abstract
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,Paraneoplastic Syndromes,Abstract
39165415,This review provides a detailed discussion of the paraneoplastic syndromes associated with GBC.,Paraneoplastic Syndromes,Abstract
39157456,Constitutive androstane receptor: A tumor suppressor and a biomarker for favorable prognosis of liver diseases.,Disease,Title
39157223,"Specifically, these complications include avascular necrosis, varus collapse, intra-articular screw penetration, and postoperative stiffness.",Necrosis,Abstract
39156040,A 100-year-old male presented with an episode of profound bradycardia.,Bradycardia,Abstract
39156040,The patient's carer alerted the emergency department and they withdrew the bisoprolol and controlled the bradycardia.,Bradycardia,Abstract
39156040,"Once the problem was resolved, we were asked if any of his medications could be related to the bradycardia.",Bradycardia,Abstract
39156039,Patient describes uncontrolled chronic pain and confusion related to improper drug use.,Confusion,Abstract
39156039,"After its implementation, the patient's confusion was eliminated and pain management was achieved, increasing her quality of life.",Confusion,Abstract
39155966,Passive design characteristics (PDC) play a pivotal role in reducing the energy burden on households without imposing additional financial constraints on project stakeholders.,Tics,Abstract
39155966,"Subsequently, we utilize the derived passive design features in conjunction with demographic characteristics to train and compare various machine learning methods.",Tics,Abstract
39144402,This study examines how characteristics of victims and types of incidents described in a media account of gun violence affect public support for three categories of policies that regulate firearms.,Tics,Abstract
39140081,Patient-Reported Impact of Symptoms in Spinal and Bulbar Muscular Atrophy.,Atrophy,Title
39140081,The aim of this study was to determine the frequency and relative importance of symptoms experienced by patients with spinal and bulbar muscular atrophy (SBMA).,Atrophy,Abstract
39135609,Hispanic adults with type 2 diabetes mellitus using lipid-lowering agents have better periodontal health than non-users.,Diabetes Mellitus,Title
39133425,"Comment on ""Recent Human Papillomavirus Vaccination is Associated with a Lower Risk of COVID-19: A US Database Cohort Study"".",Papilloma,Title
39133424,"Comment on: ""Recent Human Papillomavirus Vaccination is Associated with a Lower Risk of COVID-19: A US Database Cohort Study"".",Papilloma,Title
39133423,"Reply to the Comments on ""Recent Human Papillomavirus Vaccination is Associated with a Lower Risk of COVID-19: A US Database Cohort Study"".",Papilloma,Title
39132937,Plain language summary of zanubrutinib or ibrutinib in chronic lymphocytic leukemia that is resistant to treatment or has come back after treatment.,Leukemia,Title
39132461,Severe Multivessel Coronary Vasospasm Secondary to 5-Fluorouracil Mimicking ST-Segment Elevation Myocardial Infarction.,Coronary Vasospasm,Title
39132324,"Discussions on nuclear weapons, precisely because the extent of their destruction seems unimaginable, blur the boundaries between 'real' and 'fictional', offering a unique opportunity to reflect on stories of world politics and on the tensions within historical International Relations.",Tics,Abstract
39132221,A Tumor-Feeding Artery Towards a Cardiac Glomus Tumor.,Glomus Tumor,Title
39132216,Residual Pulmonary Vascular Obstruction Following Mechanical Thrombectomy for Submassive Pulmonary Embolism: A Single-Center Analysis.,Embolism,Title
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Dyspnea,Abstract
39131788,"Fractional flow reserve (FFR) is an established method to guide decisions on revascularization; however, in patients with diabetes mellitus (DM), FFR-negative lesions carrying an optical coherence tomography-detected thin-cap fibroatheroma (TCFA) remain at high risk for adverse cardiac events.",Diabetes Mellitus,Abstract
39131781,Pneumopericardium-Induced Tamponade: A Case for Nonintervention.,Pneumopericardium,Title
39131151,Survival rates for esophageal squamous cell carcinoma (ESCC) are extremely low due to the late diagnosis of most cases.,Carcinoma,Abstract
39131151,Tylosis with esophageal cancer (TOC) is a rare syndrome associated with a high lifetime risk of ESCC and germline mutations in ,Syndrome,Abstract
39131148,No intestinal polyps/abnormalities were detected.,Intestinal Polyps,Abstract
39131148,Such inulin consumption is a plausible contributor to his disease.,Disease,Abstract
39131147,Endoscopic Resection of a Cavernous Hemangioma in the Sigmoid Colon: A Case Report.,Hemangioma,Title
39131147,"Hemangiomas in the gastrointestinal tract are extremely rare, benign vascular tumors, known for their associated complication of bleeding.",Hemangioma,Abstract
39131145,"α-Fetoprotein, α-Fetoprotein-L3, and Des-γ-Carboxy Prothrombin Stratify Hepatocellular Carcinoma Treatment Response and Progression Risk.",Carcinoma,Title
39131145,Assessing aggressive biology at early-stage hepatocellular carcinoma (HCC) diagnosis remains challenging.,Carcinoma,Abstract
39131144,Insulin resistance and inflammation underlie the pathogenesis of the disease.,Disease,Abstract
39131139,"Immune checkpoint inhibitor therapy causes numerous immune-related adverse events, including autoimmune pancreatic injury (AIPI), which results in rapid organ atrophy.",Atrophy,Abstract
39131135,Initial Stage of Gastric Metastasis From Renal Cell Carcinoma.,Carcinoma,Title
39131076,"A significant proportion of patients remain symptomatic with poor HF-related outcomes including rehospitalization, progression of disease, and mortality.",Disease,Abstract
39131074,Emerging Device Therapies for Cardiorenal Syndrome.,Syndrome,Title
39131074,"While the existence of cardiorenal perturbations has been known for nearly 2 centuries, only in the past 2 decades has significant progress been made in classifying these alterations and characterizing the pathobiology and hemodynamic signature of cardiorenal syndrome (CRS).",Syndrome,Abstract
39131074,"Renal venous congestion/hypertension has since been identified as an important hemodynamic contributor to the development of CRS, resulting in diminished renal perfusion pressure, defined as the difference between arterial driving pressure and renal venous pressure.",Hypertension,Abstract
39131073,"Given that autonomic dysregulation plays a major role in the development and progression of HF, restoring this balance may potentially have an impact on the core pathophysiological mechanisms and various HF syndromes.",Syndrome,Abstract
39131073,"Such therapies, complementary to drug and device-based therapies may lead to improved patient outcomes and reduce disease burden.",Disease,Abstract
39131071,We report a case involving a 9-year-old girl with severe biventricular dysfunction due to anomalous right ventricle muscle bands.,Noma,Abstract
39131070,"This rise in diagnoses corresponds with high rates of hospitalization, patient and caregiver fatigue, and ever-increasing economic costs.",Fatigue,Abstract
39131066,"Although the mechanism is not fully understood, reduced cardiac output, comorbidities, chronic cerebral hypoperfusion, and cardioembolic brain injury leading to cerebral hypoxia and brain damage seem to trigger the neurocognitive dysfunction in HF.",Hypoxia,Abstract
39131066,Patients with poorer cognitive function are at an increased risk of severe disease as they tend to have greater difficulty complying with treatment requirements.,Disease,Abstract
39131066,"Revascularization by coronary artery bypass grafting carries inherent risks for delirium, cognitive impairment, neurologic injury, and stroke, which are known to exacerbate the risk of neurocognitive dysfunction.",Delirium,Abstract
39131064,"Percutaneous coronary intervention (PCI) is a less-invasive approach to coronary revascularization; however, the recent Revascularization for Ischemic Ventricular Dysfunction (REVIVED)-British Cardiovascular Intervention Society (BCIS2) trial failed to demonstrate a benefit of PCI compared with that of medical therapy in patients with ischemic systolic HF.",Ventricular Dysfunction,Abstract
39130657,"Oligosaccharides have been widely used as prebiotics in the food industry, however their properties have been examined in vitro, without considering hydrolysis in the human digestive tract, especially in the small intestine.",Tics,Abstract
39130657,"These findings regarding oligosaccharide degradation in the gastrointestinal tract can be used to achieve greater experimental accuracy when examining the effects of prebiotics on gut flora via in vitro studies (e.g., on fecal fermentation or microbial growth rates).",Tics,Abstract
39130614,"Specifically, we first perform attributed RWs on the graph and design an automated program to compose roughly meaningful textual sequences directly from the attributed RWs; then we fine-tune an LM using the RW-based textual sequences and extract embedding vectors from the LM, which encapsulates both attribute semantics and graph structures.",Tics,Abstract
39130530,"In pursuit of these goals, we feature this column on environmental health services from the Centers for Disease Control and Prevention (CDC) in every issue of the ",Disease,Abstract
39129960,Gastric Adenocarcinoma Masquerading as Cannabis Hyperemesis Syndrome.,Adenocarcinoma,Title
39129951,A Rare Afferent Loop Syndrome Case in Adulthood Following Liver Transplantation in Neonatal Hemochromatosis.,Afferent Loop Syndrome,Title
39129951,"Afferent loop syndrome, sometimes referred to as afferent limb syndrome, is an infrequent mechanical complication frequently observed following foregut surgeries involving the connection of the stomach or esophagus to the jejunum.",Afferent Loop Syndrome,Abstract
39129951,"Here, we present the first documented case of afferent loop syndrome in a patient with a medical history involving a liver transplant due to neonatal hemochromatosis.",Afferent Loop Syndrome,Abstract
39128072,"The ultimate goal is a harmonious synergy between technological advancements and ethical considerations, ushering in enhanced breast cancer diagnostics through responsible AI utilization.",Tics,Abstract
39128069,Aquaporins: Potential Targets in Inflammatory Diseases.,Disease,Title
39128069,Inflammation involves a long chain of molecular reactions and cellular activity designed to repair tissue damaged by various causes.,Inflammation,Abstract
39128069,"After the onset of inflammation, various adverse conditions that initiate the inflammatory response need to be addressed; however, failure to limit the inflammatory reaction may result in the damage or destruction of host cells.",Inflammation,Abstract
39128069,"Therefore, inflammatory reactions play a role in many diferent diseases.",Disease,Abstract
39128069,Aquaporins have been shown in many studies to have important roles in inflammatory diseases.,Disease,Abstract
39128069,This clearly indicates that AQPs may be potential targets for inflammatory diseases.,Disease,Abstract
39128069,This review summarizes the research to date on the structure and function of AQPs and provides an update on the relationship between AQPs and various human inflammatory diseases.,Disease,Abstract
39128060,"In parallel with these developments, the importance of EUS in the diagnosis, treatment, and management of chronic liver diseases has increased considerably.",Disease,Abstract
39128060,"Endoscopic ultrasound-based advanced applications such as EUSguided liver biopsy (LB), EUS-guided ascites assessment, the use of EUS in the evaluation of focal lesions of the liver, and EUS portal pressure gradient (EUS-PPG) measurements are becoming increasingly common and important.",Ascites,Abstract
39128045,"However, these methods provide temporary weight loss.",Weight Loss,Abstract
39128045,Bariatric surgery not only restricts the volume of the stomach and limits calorie intake but also provides weight-controlled weight loss in the long term.,Weight Loss,Abstract
39128036,Can Serotonin 7 Receptors Be a Treatment Target for Noncentral Diseases?,Disease,Title
39128036,"Due to their extensive distribution, these receptors' stimulation and repression are of importance during the therapy process, even if their exact mechanism of action in disease has not been fully understood.",Disease,Abstract
39128034,"Any change in the composition and functionality of the intestinal microbiota, both in number and diversity, causes disruption of intestinal functioning and paves the way for many diseases.",Disease,Abstract
39128034,"In this regard, many antimicrobial peptides, especially bacteriocins, synthesized by lactic acid bacteria are thought to be natural resources with a high potential for the protection of the intestinal microbiota and the treatment of intestinal diseases.",Disease,Abstract
39128033,Serious Complications and Treatment Strategies Associated with Odontogenic Infections.,Infections,Title
39128033,"Odontogenic infections (OIs) arise from dental origins and can be caused by several pathologies, such as caries, trauma, pericoronitis, gingivitis, and iatrogenic factors.",Gingivitis,Abstract
39128033,Early diagnosis and treatment are crucial for determining the clinical course of odontogenic infections.,Infections,Abstract
39128029,Pregnancy and the 1-year period after birth are special periods for the follow-up and treatment of psychiatric diseases.,Disease,Abstract
39119355,"While considerable research has focused on understanding the association between CH and these diseases, less attention has been given to exploring the regulatory factors that contribute to the expansion of the driver gene clone.",Disease,Abstract
39118948,"Despite the advancement of technology, the current available treatments mainly served as palliative care but not treating the diseases.",Disease,Abstract
39115983,Outcomes of the intraoperative relaxed muscle positioning technique in strabismus surgery for thyroid eye disease.,Disease,Title
39115983,The intraoperative relaxed muscle positioning (IRMP) technique for strabismus surgery in thyroid eye disease (TED) involves recessing muscles' insertions to positions where they rest without tension.,Disease,Abstract
39114758,Metabolic Dysfunction-Associated Steatotic Liver Disease and Metabolic Dysfunction-Associated Steatotic Liver Disease with Increased Alcohol Intake Increase the Risk of Developing Hepatocellular Carcinoma and Incident or Decompensated Cirrhosis: A Korean Nationwide Study.,Carcinoma,Title
39114758,"This study aimed to investigate the liver-related outcomes of newly suggested metabolic dysfunction-associated steatotic liver disease (MASLD) and MASLD with increased alcohol intake (MetALD), as well as alcohol-associated liver disease (ALD).",Disease,Abstract
39114756,Analysis of Immune-Related Adverse Events of Atezolizumab and Bevacizumab in Patients with Hepatocellular Carcinoma: A Multicentre Cohort Study.,Carcinoma,Title
39114756,"Despite the emergence of atezolizumab and bevacizumab (A + B) as standard first-line systemic therapy for unresectable hepatocellular carcinoma (HCC), a comprehensive understanding of the clinical significance of immune-related adverse events (irAEs) remains limited.",Carcinoma,Abstract
39109920,"Researchers should choose the most appropriate experimental model according to the characteristics of the experiments they plan and, if possible, conduct their studies on diferent models.",Tics,Abstract
39109852,Role of NLRP3 Inflammasomes in Neurodegenerative Diseases.,Disease,Title
39109852,Large-scale neuronal degeneration in the human brain is a hallmark of neurodegenerative diseases.,Disease,Abstract
39109852,"These diseases range in location and cause, but they all have neurodegenerative characteristics in common.",Disease,Abstract
39109852,"Neurodegenerative diseases, which have almost no efective treatment options, tend to progress irreversibly and cause large socioeconomic and healthcare costs.",Disease,Abstract
39109852,"In recent years, due to the increase in the elderly population, neurodegenerative diseases that have a risk factor with aging are becoming increasingly common.",Disease,Abstract
39109852,"Evidence that neurodegenerative diseases, which have an important place in public health, may be caused by neuroinflammation, has led to comprehensive investigation of neurodegenerative diseases in this regard.",Disease,Abstract
39109852,Inflammasomes are innate immune system-associated multiproteins that regulate caspase-1 activation and induce inflammation.,Inflammation,Abstract
39109852,"Within the scope of this review, experimental and human studies evaluating the role of NLRP3 inflammasome activation and the efects of its inhibition in neurodegenerative diseases frequently encountered in society have been compiled with studies from past to present.",Disease,Abstract
39109827,Artificial Intelligence in Stroke Imaging: A Comprehensive Review.,Stroke,Title
39109827,The aging population challenges the health-care system with chronic diseases.,Chronic Disease,Abstract
39109827,Cerebrovascular diseases are important components of these chronic conditions.,Disease,Abstract
39109827,"Therefore, fast, accurate, and reliable automatic methods are required to facilitate stroke management.",Stroke,Abstract
39109827,"The AI methods that can be applied to stroke imaging have a broad range, including classical machine learning tools such as support vector machines, random forests, logistic regression, and linear discriminant analysis, as well as deep learning models, such as convolutional neural networks, recurrent neural networks, autoencoders, and U-Net.",Stroke,Abstract
39109827,"Both tools can be applied to various aspects of stroke management, including time-to-event onset determination, stroke confirmation, large vessel occlusion detection, difusion restriction, perfusion deficit, core and penumbra identification, afected region segmentation, and functional outcome prediction.",Stroke,Abstract
39109811,"Alcohol consumption poses a significant risk for the development of chronic illnesses, one of the leading causes of ""preventable"" disease and death worldwide.",Death,Abstract
39109811,"Harmful consumption of alcohol is thought to result in approximately 2.5-3 million deaths each year, the majority of which are caused by alcohol-related liver diseases.",Death,Abstract
39109811,The mechanisms behind human diseases are often mimicked and understood through the use of animal models.,Disease,Abstract
39109811,Rodents are the ideal animals to study alcohol-related liver diseases.,Disease,Abstract
39104687,"Recognizing the periodic characteristics of neural stimulation and neuronal firing, Iterative Learning Control (ILC) is employed as the primary controller.",Tics,Abstract
39104675,"The weak distinction observed in the spatial characteristics related to proximity to criticality might once more point to a spin-glass scenario, necessitating nuanced order parameters to distinguish between phase-ordering in Alzheimer's and cognitively normal brains.",Tics,Abstract
39104671,"Hearing impairment is considered to be related to the damage of hair cells or synaptic terminals, which will cause varying degrees of hearing loss.",Hearing Loss,Abstract
39104671,"Using the characteristics of special acoustoelectric conversion in piezoelectric ceramics, this paper integrates them into the traditional FitzHugh-Nagumo neuron circuit and proposes a comprehensive model with coupled auditory neurons.",Tics,Abstract
39104670,The ISI distribution obtained from the FHN system is investigated to relate the real electromyography (EMG) measurements under different conditions such as myokymia and neuromyotonia.,Myotonia,Abstract
39104670,It is seen that ISI distribution observed from myokymic EMG exhibits notably close behavior as in the case of spectral resonance generated by FHN whereas a wider distribution is monitored in the case of neuromyotonia.,Myotonia,Abstract
39104668,Computational study of associations between the synaptic conductance of STN and GPe and the development of Parkinson's disease.,Disease,Title
39104668,"There is evidence that the subthalamic nucleus (STN) and globus pallidus pars externa (GPe) involve in the development of Parkinson's disease, a neurodegenerative disorder characterized by motor and non-motor symptoms and loss of dopaminergic neurons in which the error index (",Disease,Abstract
39104667,It implies that semantics and syntax of words can be separated while those of emojis seem to be integrated together.,Tics,Abstract
39104623,Cancer is one of the leading causes of death worldwide and one of the greatest challenges in extending life expectancy.,Death,Abstract
39104623,"The paradigm of one-size-fits-all medicine has already given way to the stratification of patients by disease subtypes, clinical characteristics, and biomarkers (stratified medicine).",Disease,Abstract
39104623,The available databases and bioinformatics tools and online servers used in NGS data analysis are also reviewed.,Tics,Abstract
39104622,Botulinum neurotoxins (BoNTs) cause botulism and are the most potent natural toxins known.,Botulism,Abstract
39104422,RNA binding motif protein 43 (RBM43) suppresses hepatocellular carcinoma metastasis by regulating Slug mRNA stability.,Carcinoma,Title
39104419,In-depth profiling of tumor tissue derived from malignant pleural mesothelioma patients identifies potential biomarkers predicting response to immune-checkpoint inhibitor therapy.,Mesothelioma,Title
39102694,Targeted therapies in children with renal cell carcinoma (RCC): An International Society of Pediatric Oncology-Renal Tumor Study Group (SIOP-RTSG)-related retrospective descriptive study.,Carcinoma,Title
39102694,Introduction: Renal cell carcinoma (RCC) is a very rare pediatric renal tumor.,Carcinoma,Abstract
39099517,Addressing the UHC Challenge Using the Disease Control Priorities 3 Approach: Lessons Learned and an Overview of the Pakistan Experience.,Disease,Title
39095170,This study firstly investigated the sorption/desorption behaviors of PAs/PANOs in tea plantation soils with distinct characteristics.,Tics,Abstract
39091998,"Impact of SARS, H1N1, and COVID-19 on Medical Trainees' Academic and Personal Experience: A Systematic Search and Narrative Review.",COVID-19,Title
39087297,Clinical Characteristics and Rehabilitation Results of Traumatic Brain Injury Patients Who Have Early Rehabilitation.,Tics,Title
39087297,To examine the clinical characteristics and early rehabilitation results and to investigate the relationship between rehabilitation initiation time and rehabilitation-related outcome measurements in traumatic brain injury (TBI) patients who have early rehabilitation.,Tics,Abstract
39086691,"Spatial adjustment of bioenergetics, a possible determinant of contractile adaptation and development of contractile failure.",Tics,Title
39086691,"Here, we discuss how spatial adjustment of bioenergetics to intracellular oxygen fluctuations may underlie cardiac contractile adaptation and how this adaptation may pose a risk for the development of contractile failure.",Tics,Abstract
39081971,"Organ donation after euthanasia (ODE) has been performed over 100 times in the Netherlands, primarily involving patients suffering from a neurodegenerative or psychiatric disease.",Disease,Abstract
39077381,Modern technologies and solutions to enhance surveillance and response systems for emerging zoonotic diseases.,Disease,Title
39077381,Zoonotic diseases originating in animals pose a significant threat to global public health.,Disease,Abstract
39077381,"Recent outbreaks, such as coronavirus disease 2019 (COVID-19), have caused widespread illness, death, and socioeconomic disruptions worldwide.",Death,Abstract
39077381,"To cope with these diseases effectively, it is crucial to strengthen surveillance capabilities and establish rapid response systems.",Disease,Abstract
39077101,Multisystem Inflammatory Syndrome in Children after Coronavirus Disease 2019 and Its Cytokine Storms.,Disease,Title
39077100,Systematic Review of the Application of Computational Fluid Dynamics for Adult Aortic Diseases.,Aortic Diseases,Title
39077100,The aim of this study is to summarize and analyze the application of CFD in adult aortic diseases.,Aortic Diseases,Abstract
39077098,Biomechanical Evaluation of Mitral Valve Repair: Virtual Chordal Transposition to Restore Anterior Leaflet Prolapse.,Prolapse,Title
39077098,"Surgical management of an anterior leaflet prolapse remains comparatively challenging and has led to the lack of any firmly established standard repair techniques, as seen in cases of posterior leaflet prolapse.",Prolapse,Abstract
39077098,"This study aims to evaluate and predict the biomechanical and functional characteristics of a normal mitral valve (MV) model and a pathological MV model featuring anterior ruptured mitral chordae tendineae (RMCT), and to assess the effectiveness of the chordal transposition repair in the pathological MV model.",Rupture,Abstract
39077097,"Statins are first-line lipid-lowering drugs, which have been demonstrated to be powerful agents for anti-atherosclerosis.",Sclerosis,Abstract
39077096,The Effectiveness of the Smartphone-Based WeChat Platform on Reducing Time to Diagnosis and Treatment of ST-segment Elevation Myocardial Infarction.,Infarction,Title
39077096,This study evaluated the effectiveness of the smartphone-based WeChat platform in reducing the ischemia time of ST-segment elevation myocardial infarction (STEMI).,Infarction,Abstract
39077094,Pathophysiology and Treatment of the No-Reflow Phenomenon in ST-Segment Elevation Myocardial Infarction: Focus on Low-Dose Fibrinolysis during Primary Percutaneous Intervention.,Infarction,Title
39077092,Effect of Antiplatelet Agents on Abdominal Aortic Aneurysm Process: A Systematic Review and Meta-Analysis.,Aneurysm,Title
39077092,"This systematic review and meta-analysis aims to investigate whether antiplatelet agents are associated with the reduction, expansion, and rupture of abdominal aortic aneurysm (AAA).",Aneurysm,Abstract
39077090,Chronic aortic regurgitation (AR) is a common valvular disease characterized by an overload of left ventricular volume and pressure.,Disease,Abstract
39077089,Thoracic aortic aneurysm and dissection (TAAD) is a life-threatening cardiovascular disorder lacking effective clinical pharmacological therapies.,Aneurysm,Abstract
39077089,"The main pathological features of TAAD include SMC dysfunction, phenotypic switching, and ECM degradation, which is closely associated with inflammation and immune cell infiltration.",Inflammation,Abstract
39077089,"In this review, we first highlight the important role of inflammation and immune cell infiltration in TAAD.",Inflammation,Abstract
39077088,"The ratios of tricuspid annular plane systolic excursion/pulmonary artery systolic pressure (TAPSE/PASP), RV global longitudinal strain (G-RVLS)/PASP, and stroke volume/end-systolic volume (SV/ESV) have been proposed as surrogates of RV-PA coupling.",Stroke,Abstract
39077085,The presence of a chronic total occlusion (CTO) and severe left ventricular (LV) systolic dysfunction are known negative prognostic factors in patients with coronary artery disease.,Coronary Artery Disease,Abstract
39077085,"Several studies have examined the effect of CTO revascularization on mortality, symptoms, occurrence of myocardial infarction (MI), and cardiac function in patients with normal or reduced LV function.",Infarction,Abstract
39077084,Comparison of Neoatherosclerosis and Neovascularization of Restenosis after Drug-Eluting Stent Implantation: An Optical Coherence Tomography Study.,Sclerosis,Title
39077084,Neoatherosclerosis (NA) is associated with stent failure.,Sclerosis,Abstract
39077083,"Percutaneous coronary intervention (PCI) is a widely used reperfusion strategy for coronary artery disease, with millions of procedures performed annually.",Coronary Artery Disease,Abstract
39077081,"Novel Insights into the Link Between Myeloperoxidase Modified LDL, LOX-1, and Neuroserpin in Stroke.",Stroke,Title
39077081,Atherosclerosis is primarily triggered by endothelial dysfunction and the accumulation of modified low-density lipoprotein (LDL) particles in the subendothelial space of blood vessels.,Sclerosis,Abstract
39077081,It has been suggested that myeloperoxidase oxidized LDL (Mox-LDL) is involved in atherosclerosis because of its significant pathophysiological role in the modification of LDL ,Sclerosis,Abstract
39077079,Mitochondrial Dysfunction in Arrhythmia and Cardiac Hypertrophy.,Hypertrophy,Title
39077078,"Although great progress has been made in the diagnostic and treatment options for dyslipidemias, unawareness, underdiagnosis and undertreatment of these disorders remain a significant global health concern.",Dyslipidemias,Abstract
39077077,Intermediate Hyperglycemia Increases the Risk of All-Cause Mortality in Premature Coronary Artery Disease Patients Undergoing Percutaneous Coronary Intervention.,Coronary Artery Disease,Title
39077077,Hyperglycemia has been associated with an adverse prognosis in patients with premature coronary artery disease (CAD).,Coronary Artery Disease,Abstract
39077077,"However, whether the intermediate hyperglycemia status affects the risk of mortality in premature CAD patients treated with percutaneous coronary intervention (PCI), remains unclear.",Hyperglycemia,Abstract
39077075,"HHD is a condition characterized by the pathological hypertrophy of the left ventricle, a consequence of elevated arterial hypertension.",Hypertension,Abstract
39077075,"Interestingly, both OSA and HHD share similar underlying mechanisms including hypertension, left ventricular hypertrophy, myocardial fibrosis, oxidative stress, and inflammation, which ultimately contribute to the progression of HHD.",Fibrosis,Abstract
39077073,Diabetes mellitus (DM) plays a key role in the pathophysiology of metabolic syndrome (MetS).,Diabetes Mellitus,Abstract
