symptom_cui|disease_cui|symptom_name|disease_name|icd9_code
C0002962|C0264676|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Angina, class II; class II angina; Angina, class II (disorder); class II angina pectoris (diagnosis); class II angina pectoris; angina pectoris class II|4139 - Other and unspecified angina pectoris
C0002962|C0264677|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Angina, class III; class iii angina; class III angina; angina class iii; Angina, class III (disorder); class III angina pectoris; angina pectoris class III; class III angina pectoris (diagnosis)|4139 - Other and unspecified angina pectoris
C0002962|C0264678|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Angina, class IV; class IV angina; Angina, class IV (disorder); class IV angina pectoris; class IV angina pectoris (diagnosis)|4139 - Other and unspecified angina pectoris
C0002962|C0264679|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Nocturnal angina; nocturnal angina; Nocturnal angina (disorder); nocturnal angina pectoris (diagnosis); nocturnal angina pectoris|4139 - Other and unspecified angina pectoris
C0002962|C0264680|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Status anginosus; status anginosus; status anginosus (diagnosis); Status anginosus (disorder)|4139 - Other and unspecified angina pectoris
C0002962|C0264681|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Syncope anginosa; Syncope anginosa (diagnosis); angina pectoris syncope anginosa; Syncope anginosa (disorder)|4139 - Other and unspecified angina pectoris
C0002962|C0340288|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Stable angina; angina stable; Angina, Stable; ANGINA STABLE; stable angina; Stable Angina; Anginas, Stable; Stable Anginas; Angina Pectori, Stable; Pectori, Stable Angina; Stable Angina Pectori; stable angina (diagnosis); Chronic Stable Angina; angina chronic stable; stable chronic angina; chronic stable angina; Anginas, Chronic Stable; Chronic Stable Anginas; Stable Anginas, Chronic; Angina, Chronic Stable; Stable Angina, Chronic; Angina Pectoris, Stable; Stable angina pectoris; Pectoris, Stable Angina; Stable Angina Pectoris; Stable angina (disorder)|4139 - Other and unspecified angina pectoris
C0002962|C0340289|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|New onset angina; ANGINA NEW ONSET; new onset angina; New onset angina pectoris; angina pectoris new onset; New onset angina (diagnosis); New onset angina (disorder)|4139 - Other and unspecified angina pectoris
C0002962|C0741026|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Atypical angina; ANGINA ATYPICAL; Atypical Angina; Atypical angina (disorder); atypical angina pectoris (diagnosis); atypical angina pectoris|4139 - Other and unspecified angina pectoris
C0002962|C0741032|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Refractory angina; ANGINA REFRACTORY; refractory angina pectoris (diagnosis); Refractory angina (disorder); Refractory angina pectoris; angina pectoris refractory; refractory angina pectoris|4139 - Other and unspecified angina pectoris
C0002962|C1278535|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Post infarct angina; angina pectoris following acute myocardial infarction; angina pectoris following myocardial infarction (diagnosis); angina pectoris following myocardial infarction; Post infarct angina (disorder)|4110 - Postmyocardial infarction syndrome
C0002962|C1299435|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Progressive Angina; Progressive angina; Progressive angina (disorder)|4139 - Other and unspecified angina pectoris
C0002962|C1299436|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Recurrent angina after percutaneous transluminal coronary angioplasty; Recurrent angina status post percutaneous transluminal coronary angioplasty (diagnosis); Recurrent angina status post percutaneous transluminal coronary angioplasty (disorder); Recurrent angina status post percutaneous transluminal coronary angioplasty; angina recurrent status post percutaneous transluminal coronary angioplasty|4144 - Coronary atherosclerosis due to calcified coronary lesion
