PMID,Sentence,Found Terms,Classification
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,Atherosclerosis,Disease
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Heart Failure,Disease
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Disease,Disease
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Arrhythmias,Disease
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Cardiac,Unknown
39196150,"Here, we generate a mouse model harboring a PKP2 mutation (IVS10-1G>C) affecting RNA splicing, recapitulating ARVC features and sudden death starting at 4 weeks.",Death,Unknown
39196150,"Here, we generate a mouse model harboring a PKP2 mutation (IVS10-1G>C) affecting RNA splicing, recapitulating ARVC features and sudden death starting at 4 weeks.",Death,Unknown
39196150,"Here, we generate a mouse model harboring a PKP2 mutation (IVS10-1G>C) affecting RNA splicing, recapitulating ARVC features and sudden death starting at 4 weeks.",Sudden,Unknown
39196141,Ventricular fibrillation (VF) is a leading immediate cause of sudden cardiac death.,Ventricular Fibrillation,Disease
39196141,Ventricular fibrillation (VF) is a leading immediate cause of sudden cardiac death.,Death,Unknown
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,Aneurysm,Unknown
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,Aortic Aneurysm,Disease
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,Drive,Unknown
39196139,Alkaline ceramidase 1-mediated platelet ceramide catabolism mitigates vascular inflammation and abdominal aortic aneurysm formation.,Aneurysm,Unknown
39196139,Alkaline ceramidase 1-mediated platelet ceramide catabolism mitigates vascular inflammation and abdominal aortic aneurysm formation.,Inflammation,Unknown
39196139,Alkaline ceramidase 1-mediated platelet ceramide catabolism mitigates vascular inflammation and abdominal aortic aneurysm formation.,Aortic Aneurysm,Disease
39196139,Abdominal aortic aneurysm (AAA) is a highly lethal vascular disease.,Disease,Disease
39196139,Abdominal aortic aneurysm (AAA) is a highly lethal vascular disease.,Aneurysm,Unknown
39196139,Abdominal aortic aneurysm (AAA) is a highly lethal vascular disease.,Aortic Aneurysm,Disease
39196139,Platelet-specific Acer1 knockout mice were more susceptible to AAA upon AngII infusion without affecting hemostasis and thrombosis.,Thrombosis,Unknown
39196139,Platelet-specific Acer1 knockout mice were more susceptible to AAA upon AngII infusion without affecting hemostasis and thrombosis.,Hemostasis,Unknown
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.",Role,Unknown
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.",Heart Diseases,Disease
39195358,To describe uncommon techniques that induce compensatory strabismus utilizing slab-off spectacle prism to treat symptomatic incomitant vertical strabismus in adults with diplopia in the reading position only.,Diplopia,Disease
39195358,To describe uncommon techniques that induce compensatory strabismus utilizing slab-off spectacle prism to treat symptomatic incomitant vertical strabismus in adults with diplopia in the reading position only.,Strabismus,Disease
39195355,The association between developmental delay and endophthalmitis after pediatric cataract surgery using an insurance claims database.,Association,Unknown
39195355,The association between developmental delay and endophthalmitis after pediatric cataract surgery using an insurance claims database.,Cataract,Disease
39195355,The association between developmental delay and endophthalmitis after pediatric cataract surgery using an insurance claims database.,Endophthalmitis,Disease
39195355,To evaluate risk factors for postoperative endophthalmitis in pediatric cataract surgery based on an analysis of a large insurance claims database.,Cataract,Disease
39195355,To evaluate risk factors for postoperative endophthalmitis in pediatric cataract surgery based on an analysis of a large insurance claims database.,Endophthalmitis,Disease
39195354,Children with high astigmatism: tomographic and refractive characteristics and the ability of current indices to rule out keratoconus.,Astigmatism,Disease
39195354,Children with high astigmatism: tomographic and refractive characteristics and the ability of current indices to rule out keratoconus.,Keratoconus,Disease
39195354,"To assess corneal tomographic, topographic, and refractive changes in children with high astigmatism and their ability to exclude keratoconus.",Astigmatism,Disease
39195354,"To assess corneal tomographic, topographic, and refractive changes in children with high astigmatism and their ability to exclude keratoconus.",Keratoconus,Disease
39192872,Individual differences in preschoolers' spatial thinking: Comprehension of dimensional adjectives and their relation to children's performance on non-verbal spatial tasks.,Comprehension,Unknown
39192872,Individual differences in preschoolers' spatial thinking: Comprehension of dimensional adjectives and their relation to children's performance on non-verbal spatial tasks.,Thinking,Unknown
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Heart Failure,Disease
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Bundle-Branch Block,Disease
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Heart Block,Disease
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.",Heart Failure,Disease
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.",Prognosis,Unknown
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.",Heart Block,Disease
39184900,"This study investigates the relationships between an individual's self-satisfaction within different life areas, which correspond to Bracken's self-concept primary domains (competence, family, social, physical, emotional, and academic domains), and Zuckerman's Alternative Five-Factor Model of Personality (AFFM).",Personality,Unknown
39184900,"This study investigates the relationships between an individual's self-satisfaction within different life areas, which correspond to Bracken's self-concept primary domains (competence, family, social, physical, emotional, and academic domains), and Zuckerman's Alternative Five-Factor Model of Personality (AFFM).",Family,Unknown
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Diabetes Mellitus,Disease
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Heart Defects,Unknown
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Congenital,Unknown
39171286,Liquid biopsy for early detection of lung cancer.,Liquid Biopsy,Unknown
39171286,Liquid biopsy for early detection of lung cancer.,Early Detection of Cancer,Unknown
39171286,Liquid biopsy for early detection of lung cancer.,Biopsy,Unknown
39171286,Early cancer detection plays an important role in improving treatment success and patient prognosis.,Role,Unknown
39171286,Early cancer detection plays an important role in improving treatment success and patient prognosis.,Prognosis,Unknown
39171286,"In the past decade, liquid biopsy became an important tool for cancer diagnosis, as well as for treatment selection and response monitoring.",Liquid Biopsy,Unknown
39171286,"In the past decade, liquid biopsy became an important tool for cancer diagnosis, as well as for treatment selection and response monitoring.",Diagnosis,Unknown
39171286,"In the past decade, liquid biopsy became an important tool for cancer diagnosis, as well as for treatment selection and response monitoring.",Biopsy,Unknown
39171286,"Liquid biopsy is a broad term that defines a non-invasive test done on a sample of blood or other body fluid to look for cancer cells or other analytes that can include DNA, RNA, or other molecules released by tumor cells.",Liquid Biopsy,Unknown
39171286,"Liquid biopsy is a broad term that defines a non-invasive test done on a sample of blood or other body fluid to look for cancer cells or other analytes that can include DNA, RNA, or other molecules released by tumor cells.",Biopsy,Unknown
39171286,This review summarizes the progress and clinical application potential of liquid biopsy for early detection of lung cancer.,Liquid Biopsy,Unknown
39171286,This review summarizes the progress and clinical application potential of liquid biopsy for early detection of lung cancer.,Early Detection of Cancer,Unknown
39171286,This review summarizes the progress and clinical application potential of liquid biopsy for early detection of lung cancer.,Biopsy,Unknown
39171285,"The coronavirus disease 2019 (COVID-19) pandemic has been ongoing for more than 3 years, with an enormous impact on global health and economies.",Disease,Disease
39171285,"The coronavirus disease 2019 (COVID-19) pandemic has been ongoing for more than 3 years, with an enormous impact on global health and economies.",COVID-19,Disease
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.",Severe Acute Respiratory Syndrome,Disease
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.",Signs and Symptoms,Symptom
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.",Respiratory,Unknown
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.",Diagnosis,Unknown
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.",Syndrome,Disease
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.",Signs and Symptoms,Symptom
39171285,"The most common symptoms include fatigue, dyspnea, and other symptoms involving multiple organs.",Dyspnea,Symptom
39171285,"The most common symptoms include fatigue, dyspnea, and other symptoms involving multiple organs.",Fatigue,Symptom
39171280,"In late March 2022, an outbreak of coronavirus disease 2019 (COVID-19) caused by the Omicron BA.2 strain occurred in Shanghai, China.",Disease,Disease
39171280,"In late March 2022, an outbreak of coronavirus disease 2019 (COVID-19) caused by the Omicron BA.2 strain occurred in Shanghai, China.",COVID-19,Disease
39171279,"However, in addition to tumor killing effects, ICIs may also cause an imbalance between immune tolerance and immunity.",Immunity,Unknown
39171279,"However, in addition to tumor killing effects, ICIs may also cause an imbalance between immune tolerance and immunity.",Immune Tolerance,Unknown
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Disease,Disease
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Chronic Disease,Disease
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Disease,Disease
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Chronic Disease,Disease
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Muscle Weakness,Symptom
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Malnutrition,Disease
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Emphysema,Disease
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Bronchitis,Disease
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Muscle Fatigue,Unknown
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Bronchitis,Disease
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Chronic,Unknown
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.",Fatigue,Symptom
39171278,"Although the pulmonary function test is used as the gold criterion for diagnosing COPD, it is unable to identify early COPD or classify the subtypes, thereby impeding early intervention and the precise diagnosis of COPD.",Early Diagnosis,Unknown
39171278,"Although the pulmonary function test is used as the gold criterion for diagnosing COPD, it is unable to identify early COPD or classify the subtypes, thereby impeding early intervention and the precise diagnosis of COPD.",Diagnosis,Unknown
39165674,"These fields investigate how physical factors induced by cell adhesion and collective behaviors can directly regulate biologic processes, such as organ development and disease progression.",Disease,Disease
39165674,"These fields investigate how physical factors induced by cell adhesion and collective behaviors can directly regulate biologic processes, such as organ development and disease progression.",Disease Progression,Unknown
39165415,"Unfortunately, its subtle presentation frequently leads to late diagnosis and, thus, a poor prognosis.",Diagnosis,Unknown
39165415,"Unfortunately, its subtle presentation frequently leads to late diagnosis and, thus, a poor prognosis.",Prognosis,Unknown
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,Diagnosis,Unknown
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,Signs and Symptoms,Symptom
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,Paraneoplastic Syndromes,Unknown
39158224,"These factors include: (1) organizational resources such as organizational structures, and skilled human, financial, and information resources; (2) legal frameworks, policies, and guidelines for HTA; (3) learning and advocacy for HTA; (4) stakeholder-related factors such as stakeholders' interests, awareness, and understanding; and (5) collaborative support for HTA through international networks and non-governmental and multi-lateral organizations.",Learning,Unknown
39158224,"These factors include: (1) organizational resources such as organizational structures, and skilled human, financial, and information resources; (2) legal frameworks, policies, and guidelines for HTA; (3) learning and advocacy for HTA; (4) stakeholder-related factors such as stakeholders' interests, awareness, and understanding; and (5) collaborative support for HTA through international networks and non-governmental and multi-lateral organizations.",Awareness,Unknown
39157750,"The study presents the case of a 47-year-old woman with type 2 diabetes (T2D), hypertension and anemia, treated with metformin, glyburide, metoprolol, and iron/folic acid.",Hypertension,Disease
39157750,"The study presents the case of a 47-year-old woman with type 2 diabetes (T2D), hypertension and anemia, treated with metformin, glyburide, metoprolol, and iron/folic acid.",Anemia,Disease
39157750,"The importance of surveillance, informed decision-making and the implementation of preventive strategies is highlighted to ensure the safety and effectiveness of pharmacological treatment in patients with specific clinical conditions, such as T2D and concomitant cardiovascular diseases.",Cardiovascular Diseases,Disease
39157750,"The importance of surveillance, informed decision-making and the implementation of preventive strategies is highlighted to ensure the safety and effectiveness of pharmacological treatment in patients with specific clinical conditions, such as T2D and concomitant cardiovascular diseases.",Clinical Decision-Making,Unknown
39157456,Constitutive androstane receptor: A tumor suppressor and a biomarker for favorable prognosis of liver diseases.,Liver Diseases,Disease
39157456,Constitutive androstane receptor: A tumor suppressor and a biomarker for favorable prognosis of liver diseases.,Prognosis,Unknown
39157223,"Specifically, these complications include avascular necrosis, varus collapse, intra-articular screw penetration, and postoperative stiffness.",Postoperative Complications,Unknown
39157223,"Specifically, these complications include avascular necrosis, varus collapse, intra-articular screw penetration, and postoperative stiffness.",Necrosis,Unknown
39157223,"In turn, fibular strut endosteal augmentation was introduced to provide additional support and decrease implant failure rates in displaced fractures with varus coronal malalignment and significant metaphyseal bone loss.",Bone Malalignment,Unknown
39157223,"In turn, fibular strut endosteal augmentation was introduced to provide additional support and decrease implant failure rates in displaced fractures with varus coronal malalignment and significant metaphyseal bone loss.",Fractures,Unknown
39157223,"In turn, fibular strut endosteal augmentation was introduced to provide additional support and decrease implant failure rates in displaced fractures with varus coronal malalignment and significant metaphyseal bone loss.",Bone,Unknown
39156663,Risk factors for interstitial lung disease in rheumatoid arthritis: a cohort study from the KOBIO registry.,Disease,Disease
39156663,Risk factors for interstitial lung disease in rheumatoid arthritis: a cohort study from the KOBIO registry.,Arthritis,Disease
39156663,Interstitial lung disease (ILD) is a critical extra-articular manifestation of rheumatoid arthritis (RA).,Disease,Disease
39156663,Interstitial lung disease (ILD) is a critical extra-articular manifestation of rheumatoid arthritis (RA).,Arthritis,Disease
39156493,"These examples contribute significantly to improving the performance of supervised machine learning models, and thus, active learning can play an essential role in selecting the most appropriate information in deep learning-based diagnosis, clinical assessments, and treatment planning.",Role,Unknown
39156493,"These examples contribute significantly to improving the performance of supervised machine learning models, and thus, active learning can play an essential role in selecting the most appropriate information in deep learning-based diagnosis, clinical assessments, and treatment planning.",Learning,Unknown
39156493,"These examples contribute significantly to improving the performance of supervised machine learning models, and thus, active learning can play an essential role in selecting the most appropriate information in deep learning-based diagnosis, clinical assessments, and treatment planning.",Diagnosis,Unknown
39156043,"A 38-year-old patient diagnosed with asthma and anxiety, who takes two medications (salbutamol 100 mcg inhaler (2 puffs every 6 hours), and diazepam 5 mg (0-0-1), visited the Community Pharmacy to pick up a treatment prescribed by the Primary Care Physician (PCP) following a diagnosis of anxious-depressive symptoms.During the Dispensing Service, a potential Drug-Related Problem (DRP) of prescription error is detected, which could be related with a Negative Outcomes Releated to Medicines (NOM) due to the concurrent use of desvenlafaxine and mirtazapine.",Diagnosis,Unknown
39156043,"A 38-year-old patient diagnosed with asthma and anxiety, who takes two medications (salbutamol 100 mcg inhaler (2 puffs every 6 hours), and diazepam 5 mg (0-0-1), visited the Community Pharmacy to pick up a treatment prescribed by the Primary Care Physician (PCP) following a diagnosis of anxious-depressive symptoms.During the Dispensing Service, a potential Drug-Related Problem (DRP) of prescription error is detected, which could be related with a Negative Outcomes Releated to Medicines (NOM) due to the concurrent use of desvenlafaxine and mirtazapine.",Anxiety,Symptom
39156043,"A 38-year-old patient diagnosed with asthma and anxiety, who takes two medications (salbutamol 100 mcg inhaler (2 puffs every 6 hours), and diazepam 5 mg (0-0-1), visited the Community Pharmacy to pick up a treatment prescribed by the Primary Care Physician (PCP) following a diagnosis of anxious-depressive symptoms.During the Dispensing Service, a potential Drug-Related Problem (DRP) of prescription error is detected, which could be related with a Negative Outcomes Releated to Medicines (NOM) due to the concurrent use of desvenlafaxine and mirtazapine.",Asthma,Disease
39156039,Patient describes uncontrolled chronic pain and confusion related to improper drug use.,Confusion,Unknown
39156039,Patient describes uncontrolled chronic pain and confusion related to improper drug use.,Pain,Symptom
39156039,Patient describes uncontrolled chronic pain and confusion related to improper drug use.,Chronic Pain,Symptom
39156039,"After its implementation, the patient's confusion was eliminated and pain management was achieved, increasing her quality of life.",Confusion,Unknown
39156039,"After its implementation, the patient's confusion was eliminated and pain management was achieved, increasing her quality of life.",Pain,Symptom
39155966,Examining the Role of Passive Design Indicators in Energy Burden Reduction: Insights from a Machine Learning and Deep Learning Approach.,Role,Unknown
39155966,Examining the Role of Passive Design Indicators in Energy Burden Reduction: Insights from a Machine Learning and Deep Learning Approach.,Learning,Unknown
39148898,Criminalization of sex work is linked to increased risk of violence and lack of workplace protections for sex workers.,Sex,Unknown
39148898,Criminalization of sex work is linked to increased risk of violence and lack of workplace protections for sex workers.,Sex Work,Unknown
39148898,"Most jurisdictions globally prohibit some or all aspects of sex work with New Zealand constituting a notable exception, where sex work has been decriminalized and regulated via OHS guidelines.",Sex,Unknown
39148898,"Most jurisdictions globally prohibit some or all aspects of sex work with New Zealand constituting a notable exception, where sex work has been decriminalized and regulated via OHS guidelines.",Sex Work,Unknown
39140081,Patient-Reported Impact of Symptoms in Spinal and Bulbar Muscular Atrophy.,Atrophy,Unknown
39140081,Patient-Reported Impact of Symptoms in Spinal and Bulbar Muscular Atrophy.,Muscular Atrophy,Unknown
39140081,The aim of this study was to determine the frequency and relative importance of symptoms experienced by patients with spinal and bulbar muscular atrophy (SBMA).,Atrophy,Unknown
39140081,The aim of this study was to determine the frequency and relative importance of symptoms experienced by patients with spinal and bulbar muscular atrophy (SBMA).,Muscular Atrophy,Unknown
39140014,Chat generative pretrained transformer (ChatGPT) is a conversational language model powered by artificial intelligence (AI).,Language,Unknown
39140014,Chat generative pretrained transformer (ChatGPT) is a conversational language model powered by artificial intelligence (AI).,Intelligence,Unknown
39140014,It is a sophisticated language model that employs deep learning methods to generate human-like text outputs to inputs in the natural language.,Learning,Unknown
39140014,It is a sophisticated language model that employs deep learning methods to generate human-like text outputs to inputs in the natural language.,Language,Unknown
39135609,"Recent studies suggest that lipid-lowering agents (LLA) may reduce chronic periodontitis, but it is unknown whether this benefit extends to people with type 2 diabetes (T2D).",Chronic Periodontitis,Disease
39135609,"Recent studies suggest that lipid-lowering agents (LLA) may reduce chronic periodontitis, but it is unknown whether this benefit extends to people with type 2 diabetes (T2D).",Periodontitis,Disease
39132937,Plain language summary of zanubrutinib or ibrutinib in chronic lymphocytic leukemia that is resistant to treatment or has come back after treatment.,Leukemia,Unknown
39132937,Plain language summary of zanubrutinib or ibrutinib in chronic lymphocytic leukemia that is resistant to treatment or has come back after treatment.,Language,Unknown
39132461,Severe Multivessel Coronary Vasospasm Secondary to 5-Fluorouracil Mimicking ST-Segment Elevation Myocardial Infarction.,Myocardial Infarction,Disease
39132461,Severe Multivessel Coronary Vasospasm Secondary to 5-Fluorouracil Mimicking ST-Segment Elevation Myocardial Infarction.,Coronary Vasospasm,Disease
39132461,Severe Multivessel Coronary Vasospasm Secondary to 5-Fluorouracil Mimicking ST-Segment Elevation Myocardial Infarction.,Infarction,Unknown
39132216,Residual Pulmonary Vascular Obstruction Following Mechanical Thrombectomy for Submassive Pulmonary Embolism: A Single-Center Analysis.,Embolism,Unknown
39132216,Residual Pulmonary Vascular Obstruction Following Mechanical Thrombectomy for Submassive Pulmonary Embolism: A Single-Center Analysis.,Pulmonary Embolism,Unknown
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Venous Thromboembolism,Disease
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Embolism,Unknown
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Dyspnea,Symptom
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Pulmonary Embolism,Unknown
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Hypertension,Disease
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Hypertension,Disease
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Pulmonary,Unknown
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.",Thromboembolism,Unknown
39132190,Current Diagnostic Algorithms May Fail to Identify Black Americans With Celiac Disease.,Celiac Disease,Disease
39132190,Current Diagnostic Algorithms May Fail to Identify Black Americans With Celiac Disease.,Disease,Disease
39131968,PICS/AEPC/APPCS/CSANZ/SCAI/SOLACI: Expert Consensus Statement on Cardiac Catheterization for Pediatric Patients and Adults With Congenital Heart Disease.,Consensus,Unknown
39131968,PICS/AEPC/APPCS/CSANZ/SCAI/SOLACI: Expert Consensus Statement on Cardiac Catheterization for Pediatric Patients and Adults With Congenital Heart Disease.,Disease,Disease
39131968,PICS/AEPC/APPCS/CSANZ/SCAI/SOLACI: Expert Consensus Statement on Cardiac Catheterization for Pediatric Patients and Adults With Congenital Heart Disease.,Cardiac Catheterization,Unknown
39131152,Cachexia is a metabolic syndrome defined by a loss of more than 5% of body weight in patients with chronic diseases.,Cachexia,Symptom
39131152,Cachexia is a metabolic syndrome defined by a loss of more than 5% of body weight in patients with chronic diseases.,Body Weight,Unknown
39131152,Cachexia is a metabolic syndrome defined by a loss of more than 5% of body weight in patients with chronic diseases.,Metabolic Syndrome,Disease
39131152,Cachexia is a metabolic syndrome defined by a loss of more than 5% of body weight in patients with chronic diseases.,Syndrome,Disease
39131152,Cachexia is a metabolic syndrome defined by a loss of more than 5% of body weight in patients with chronic diseases.,Metabolic Diseases,Disease
