PMID,Sentence,Found Terms
39171285,"The coronavirus disease 2019 (COVID-19) pandemic has been ongoing for more than 3 years, with an enormous impact on global health and economies.","Disease, COVID-19"
39171285,"In some patients, symptoms and signs may remain after recovery from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which cannot be explained by an alternate diagnosis; this condition has been defined as long COVID.","Severe Acute Respiratory Syndrome, Signs and Symptoms, Respiratory, Diagnosis, Syndrome, Signs and Symptoms"
39171285,"The most common symptoms include fatigue, dyspnea, and other symptoms involving multiple organs.","Dyspnea, Fatigue"
39171280,"In late March 2022, an outbreak of coronavirus disease 2019 (COVID-19) caused by the Omicron BA.2 strain occurred in Shanghai, China.","Disease, COVID-19"
39171279,"However, in addition to tumor killing effects, ICIs may also cause an imbalance between immune tolerance and immunity.","Immunity, Immune Tolerance"
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,"Disease, Chronic Disease"
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,"Disease, Chronic Disease"
39171278,"COPD is characterized by chronic bronchitis and emphysema, and is often accompanied by malnutrition with fatigue, muscle weakness, and an increased risk of infection.","Muscle Weakness, Malnutrition, Emphysema, Bronchitis, Muscle Fatigue, Bronchitis, Chronic, Fatigue"
39171278,"Although the pulmonary function test is used as the gold criterion for diagnosing COPD, it is unable to identify early COPD or classify the subtypes, thereby impeding early intervention and the precise diagnosis of COPD.","Early Diagnosis, Diagnosis"
39165674,"These fields investigate how physical factors induced by cell adhesion and collective behaviors can directly regulate biologic processes, such as organ development and disease progression.","Disease, Disease Progression"
39165415,"Unfortunately, its subtle presentation frequently leads to late diagnosis and, thus, a poor prognosis.","Diagnosis, Prognosis"
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,"Diagnosis, Signs and Symptoms, Paraneoplastic Syndromes"
39158224,"These factors include: (1) organizational resources such as organizational structures, and skilled human, financial, and information resources; (2) legal frameworks, policies, and guidelines for HTA; (3) learning and advocacy for HTA; (4) stakeholder-related factors such as stakeholders' interests, awareness, and understanding; and (5) collaborative support for HTA through international networks and non-governmental and multi-lateral organizations.","Learning, Awareness"
39157750,"The study presents the case of a 47-year-old woman with type 2 diabetes (T2D), hypertension and anemia, treated with metformin, glyburide, metoprolol, and iron/folic acid.","Hypertension, Anemia"
39157750,"The importance of surveillance, informed decision-making and the implementation of preventive strategies is highlighted to ensure the safety and effectiveness of pharmacological treatment in patients with specific clinical conditions, such as T2D and concomitant cardiovascular diseases.","Cardiovascular Diseases, Clinical Decision-Making"
39157456,Constitutive androstane receptor: A tumor suppressor and a biomarker for favorable prognosis of liver diseases.,"Liver Diseases, Prognosis"
39157223,"Specifically, these complications include avascular necrosis, varus collapse, intra-articular screw penetration, and postoperative stiffness.","Postoperative Complications, Necrosis"
39157223,"In turn, fibular strut endosteal augmentation was introduced to provide additional support and decrease implant failure rates in displaced fractures with varus coronal malalignment and significant metaphyseal bone loss.","Bone Malalignment, Fractures, Bone"
39156663,Risk factors for interstitial lung disease in rheumatoid arthritis: a cohort study from the KOBIO registry.,"Disease, Arthritis"
39156663,Interstitial lung disease (ILD) is a critical extra-articular manifestation of rheumatoid arthritis (RA).,"Disease, Arthritis"
39156493,"These examples contribute significantly to improving the performance of supervised machine learning models, and thus, active learning can play an essential role in selecting the most appropriate information in deep learning-based diagnosis, clinical assessments, and treatment planning.","Role, Learning, Diagnosis"
39156043,"A 38-year-old patient diagnosed with asthma and anxiety, who takes two medications (salbutamol 100 mcg inhaler (2 puffs every 6 hours), and diazepam 5 mg (0-0-1), visited the Community Pharmacy to pick up a treatment prescribed by the Primary Care Physician (PCP) following a diagnosis of anxious-depressive symptoms.During the Dispensing Service, a potential Drug-Related Problem (DRP) of prescription error is detected, which could be related with a Negative Outcomes Releated to Medicines (NOM) due to the concurrent use of desvenlafaxine and mirtazapine.","Diagnosis, Anxiety, Asthma"
39156039,Patient describes uncontrolled chronic pain and confusion related to improper drug use.,"Confusion, Pain, Chronic Pain"
39156039,"After its implementation, the patient's confusion was eliminated and pain management was achieved, increasing her quality of life.","Confusion, Pain"
39155966,Examining the Role of Passive Design Indicators in Energy Burden Reduction: Insights from a Machine Learning and Deep Learning Approach.,"Role, Learning"
39148898,Criminalization of sex work is linked to increased risk of violence and lack of workplace protections for sex workers.,"Sex, Sex Work"
39148898,"Most jurisdictions globally prohibit some or all aspects of sex work with New Zealand constituting a notable exception, where sex work has been decriminalized and regulated via OHS guidelines.","Sex, Sex Work"
39140081,Patient-Reported Impact of Symptoms in Spinal and Bulbar Muscular Atrophy.,"Atrophy, Muscular Atrophy"
39140081,The aim of this study was to determine the frequency and relative importance of symptoms experienced by patients with spinal and bulbar muscular atrophy (SBMA).,"Atrophy, Muscular Atrophy"
39140014,Chat generative pretrained transformer (ChatGPT) is a conversational language model powered by artificial intelligence (AI).,"Language, Intelligence"
39140014,It is a sophisticated language model that employs deep learning methods to generate human-like text outputs to inputs in the natural language.,"Learning, Language"
39135609,"Recent studies suggest that lipid-lowering agents (LLA) may reduce chronic periodontitis, but it is unknown whether this benefit extends to people with type 2 diabetes (T2D).","Chronic Periodontitis, Periodontitis"
39132937,Plain language summary of zanubrutinib or ibrutinib in chronic lymphocytic leukemia that is resistant to treatment or has come back after treatment.,"Leukemia, Language"
39132461,Severe Multivessel Coronary Vasospasm Secondary to 5-Fluorouracil Mimicking ST-Segment Elevation Myocardial Infarction.,"Myocardial Infarction, Coronary Vasospasm, Infarction"
39132216,Residual Pulmonary Vascular Obstruction Following Mechanical Thrombectomy for Submassive Pulmonary Embolism: A Single-Center Analysis.,"Embolism, Pulmonary Embolism"
39132216,"Residual pulmonary vascular obstruction (RPVO) following pulmonary embolism (PE) is associated with residual dyspnea, recurrent venous thromboembolism, and chronic thromboembolic pulmonary hypertension.","Venous Thromboembolism, Embolism, Dyspnea, Pulmonary Embolism, Hypertension, Hypertension, Pulmonary, Thromboembolism"
39132190,Current Diagnostic Algorithms May Fail to Identify Black Americans With Celiac Disease.,"Celiac Disease, Disease"
39131968,PICS/AEPC/APPCS/CSANZ/SCAI/SOLACI: Expert Consensus Statement on Cardiac Catheterization for Pediatric Patients and Adults With Congenital Heart Disease.,"Consensus, Disease, Cardiac Catheterization"
39131152,Cachexia is a metabolic syndrome defined by a loss of more than 5% of body weight in patients with chronic diseases.,"Cachexia, Body Weight, Metabolic Syndrome, Syndrome, Metabolic Diseases, Weight Loss"
39131151,Survival rates for esophageal squamous cell carcinoma (ESCC) are extremely low due to the late diagnosis of most cases.,"Carcinoma, Diagnosis, Esophageal Squamous Cell Carcinoma"
39131151,"An understanding of the early molecular processes that lead to ESCC may facilitate opportunities for early diagnosis; however, these remain poorly defined.","Early Diagnosis, Diagnosis"
39131148,A healthy male from a family lacking history of cancer had his first cancer-screening colonoscopy at age 56.,"Colonoscopy, Family"
39131147,We describe a rare case of sigmoid colon cavernous hemangioma in a 49-year-old male who underwent colonoscopy for lower abdominal pain and revealed a large pedunculated polyp in the sigmoid colon measuring 1.7 cm in diameter.,"Hemangioma, Abdominal Pain, Colonoscopy, Pain"
39131145,"α-Fetoprotein, α-Fetoprotein-L3, and Des-γ-Carboxy Prothrombin Stratify Hepatocellular Carcinoma Treatment Response and Progression Risk.","Carcinoma, Carcinoma, Hepatocellular"
39131145,Assessing aggressive biology at early-stage hepatocellular carcinoma (HCC) diagnosis remains challenging.,"Carcinoma, Diagnosis"
39131144,Metabolic dysfunction-associated steatohepatitis is an advanced form of nonalcoholic fatty liver disease and a leading cause of end-stage liver disease and transplantation.,"Fatty Liver, Disease"
39131144,Insulin resistance and inflammation underlie the pathogenesis of the disease.,"Insulin Resistance, Disease, Inflammation, Disease Resistance"
39131076,"A significant proportion of patients remain symptomatic with poor HF-related outcomes including rehospitalization, progression of disease, and mortality.","Disease, Disease Progression"
39131075,"CCM improves quality of life, New York Heart Association class, left ventricular ejection fraction, peak oxygen uptake, and the composite end point of cardiovascular death and heart failure hospitalizations.","Heart Failure, Association, Death"
39131074,"The traditional view of CRS has long focused on low cardiac output with resultant renal arterial hypoperfusion as the central hemodynamic derangement but this too, has been challenged by new preclinical and clinical observations.","Cardiac Output, Cardiac Output, Low"
39131074,"Renal venous congestion/hypertension has since been identified as an important hemodynamic contributor to the development of CRS, resulting in diminished renal perfusion pressure, defined as the difference between arterial driving pressure and renal venous pressure.","Venous Pressure, Arterial Pressure"
39131071,Transcatheter Treatment for Double-Chambered Right Ventricle in Patient Presenting Severe Chronic Heart Failure.,"Heart Failure, Treatment Failure"
39131070,Hemodynamic Monitoring Devices in the Management of Outpatient Heart Failure.,"Heart Failure, Hemodynamic Monitoring"
39131070,Invasive hemodynamic monitoring in the ambulatory setting has been an area of focus for the last several decades as a possible proactive strategy aiding in the evaluation and management of the heart failure population.,"Heart Failure, Hemodynamic Monitoring"
39131069,Role of Lymphatics in Heart Failure.,"Heart Failure, Role"
39131069,"The lymphatic system plays a crucial, yet often overlooked, role in maintaining fluid homeostasis, and its dysregulation is a key feature of heart failure (HF).","Heart Failure, Role"
39131067,"Transcatheter atrial shunt therapies, designed to dynamically lower left atrial (LA) pressure by shunting blood into the larger reservoir of the right atrium and central veins, have been developed as a novel treatment for heart failure (HF) over the past 10+ years.","Heart Failure, Atrial Pressure, Treatment Failure, Blood Pressure"
39131067,"Several atrial shunt devices and procedures are currently in development with several pivotal randomized clinical trials (RCT) underway; however, only 2 sham-controlled RCT (both with the Atrial Shunt Device [Corvia Medical] in HF with EF ≥ 40%) have been reported thus far; a mechanistic RCT (n = 44) that demonstrated a reduction in exercise LA pressure at 1 month and a pivotal RCT (n = 626) that was neutral with no difference in outcomes or health status between shunt and sham groups.","Atrial Pressure, Exercise"
39131067,"Subsequent analyses of the single completed pivotal RCT found that peak exercise pulmonary vascular resistance <1.74 WU plus the absence of a cardiac rhythm management device identified a responder group that benefited from LA unloading with atrial shunt implantation, a finding that is currently being confirmed in a follow-up RCT.","Exercise, Vascular Resistance"
39131066,"Neurocognitive dysfunction is common in heart failure (HF), with 30% to 80% of patients experiencing some degree of deficits in one or more cognitive domains, including memory, attention, learning ability, executive function, and psychomotor speed.","Heart Failure, Executive Function, Learning, Memory, Attention, Cognitive Dysfunction"
39131066,"Although the mechanism is not fully understood, reduced cardiac output, comorbidities, chronic cerebral hypoperfusion, and cardioembolic brain injury leading to cerebral hypoxia and brain damage seem to trigger the neurocognitive dysfunction in HF.","Hypoxia, Brain, Brain Damage, Chronic, Cardiac Output, Brain Injury, Chronic, Hypoxia"
39131066,"Revascularization by coronary artery bypass grafting carries inherent risks for delirium, cognitive impairment, neurologic injury, and stroke, which are known to exacerbate the risk of neurocognitive dysfunction.","Delirium, Cognitive Dysfunction, Stroke"
39131066,"Therefore, it is paramount to raise awareness of the neurocognitive consequences in ischemic HF and devise strategies for recognition and prevention as an important target of patient management and personalized decision making that contributes to patient outcomes.","Decision Making, Awareness"
39131064,Ischemic heart disease is the largest cause of death worldwide and the most common cause of heart failure (HF).,"Heart Failure, Disease, Death"
39131064,The incidence and prevalence of HF are increasing owing to an aging population and improvements in the acute cardiac care of previously fatal conditions such as myocardial infarction.,"Myocardial Infarction, Infarction"
39131064,"There is systematic underutilization of testing for coronary artery disease in patients with HF, and revascularization is performed in an even smaller minority despite evidence for reduced mortality with coronary artery bypass grafting (CABG) over medical therapy in the Surgical Treatment for Ischemic Heart Failure Extension Study.","Heart Failure, Disease, Coronary Disease, Coronary Artery Disease, Treatment Failure"
39131064,"There remains a need for an adequately powered randomized controlled trials to establish the comparative clinical effectiveness of PCI vs CABG in ischemic systolic HF in the era of contemporary revascularization approaches and medical therapy, as well as trials of coronary revascularization in patients with HF with preserved ejection fraction or less severe forms of left ventricular systolic dysfunction.","Ventricular Dysfunction, Left, Ventricular Dysfunction"
39131060,"National Trends for Temporary Mechanical Circulatory Support Utilization in Patients With Cardiogenic Shock From Decompensated Chronic Heart Failure: Incidence, Predictors, Outcomes, and Cost.","Heart Failure, Shock, Cardiogenic, Shock"
39131060,Trends in temporary mechanical circulatory support (tMCS) use with associated outcomes and cost in cardiogenic shock secondary to decompensated chronic heart failure (HF-CS) remains poorly understood.,"Heart Failure, Shock"
39131059,Reverse Left Ventricular Remodeling With Transcatheter Interventions in Chronic Heart Failure Syndromes: An Updated Appraisal of the Device Landscape.,"Heart Failure, Ventricular Remodeling"
39131059,Chronic heart failure (HF) is a clinical syndrome of myocardial dysfunction characterized by inadequate cardiac output or preserved output that can only be achieved by sustaining abnormal loading conditions.,"Heart Failure, Cardiac Output, Syndrome"
39131059,"Morphologically, HF with reduced left ventricular function results in progressive chamber remodeling, meaning the ventricle dilates, operating at larger end-diastolic and end-systolic volumes, and takes on an abnormal, spherical shape that increases wall stress.","Ventricular Remodeling, Ventricular Function, Left, Ventricular Function"
39131058,"Advances in echocardiography, computed tomography and cardiac magnetic resonance imaging have refined our ability to diagnose, quantify and characterize SMR.","Magnetic Resonance Imaging, Tomography, Echocardiography"
39131058,"While data supporting surgical mitral valve repair or replacement for SMR are limited, transcatheter edge-to-edge repair (TEER) has been demonstrated to improve survival, reduce the rate of hospitalization for heart failure, and improve functional capacity and quality-of-life in select patients with SMR who remain symptomatic despite medical therapy.","Heart Failure, Heart Rate"
39131057,Increasing TR severity is associated with an adverse prognosis independent of the pulmonary artery pressure and the degree of right heart failure.,"Heart Failure, Prognosis"
39131057,There has been increasing attention on the potential role of transcatheter interventions for TR.,"Role, Attention"
39130657,"Here, we hypothesized that the prebiotic effects and utilization efficiency of ingested oligosaccharides would be altered in the colon, as their structures are partially hydrolyzed during digestion.","Efficiency, Digestion"
39130530,Promoting Health Literacy With Empathetic and Inclusive Communication.,"Literacy, Communication"
39130530,"In pursuit of these goals, we feature this column on environmental health services from the Centers for Disease Control and Prevention (CDC) in every issue of the","Disease, Goals"
39130172,"Clinical Outcomes of Percutaneous Coronary Intervention in Amyloidosis, Sarcoidosis, and Hemochromatosis.","Sarcoidosis, Hemochromatosis, Amyloidosis"
39130172,"Infiltrative diseases (IDs), including amyloidosis, sarcoidosis, and hemochromatosis, are characterized by abnormal cellular infiltration in multiple organs, including the heart.","Sarcoidosis, Hemochromatosis, Heart Diseases, Amyloidosis"
39129960,Gastric Adenocarcinoma Masquerading as Cannabis Hyperemesis Syndrome.,"Adenocarcinoma, Syndrome"
39129951,A Rare Afferent Loop Syndrome Case in Adulthood Following Liver Transplantation in Neonatal Hemochromatosis.,"Hemochromatosis, Syndrome, Afferent Loop Syndrome"
39129951,"Afferent loop syndrome, sometimes referred to as afferent limb syndrome, is an infrequent mechanical complication frequently observed following foregut surgeries involving the connection of the stomach or esophagus to the jejunum.","Syndrome, Afferent Loop Syndrome"
39129951,"Here, we present the first documented case of afferent loop syndrome in a patient with a medical history involving a liver transplant due to neonatal hemochromatosis.","Hemochromatosis, Syndrome, Afferent Loop Syndrome"
39128089,Robotic-assisted magnetic resonance imaging (MRI)/transrectal ultrasound (TRUS) fusion transperineal biopsy systems are one of the most debated and interesting subjects both in practice and in current urology literature.,"Magnetic Resonance Imaging, Biopsy"
39128089,"Although the role of these devices in prostate biopsies is not completely clear, the robot-assisted transperineal prostate biopsy technique is an efective and safe procedure, with high rates of csPCa detection and acceptable rates of complications, especially in terms of urosepsis.","Role, Biopsy"
39128074,"The uncontrolled inflammatory response during sepsis development, often leading to multiorgan failure and death, remains a challenge despite advances in antibiotics and supportive care.","Sepsis, Death"
39128060,"In parallel with these developments, the importance of EUS in the diagnosis, treatment, and management of chronic liver diseases has increased considerably.","Liver Diseases, Diagnosis"
39128060,"Endoscopic ultrasound-based advanced applications such as EUSguided liver biopsy (LB), EUS-guided ascites assessment, the use of EUS in the evaluation of focal lesions of the liver, and EUS portal pressure gradient (EUS-PPG) measurements are becoming increasingly common and important.","Ascites, Biopsy, Portal Pressure"
39128053,"Factors such as early age of onset, dysfunction in the brain reward system, poor physical health, sleep disturbance, comorbid psychiatric disorders, severity of ASUD, craving, low self-efcacy, negative life events, and low socioeconomic status have been consistently shown to increase the relapse rate of ASUD.","Craving, Sleep, Reward"
39128053,"Conversely, factors such as positive family functioning, strong social support, treatment motivation and regular medication appear to decrease relapse rates.","Motivation, Family Support, Family"
39128053,"Psychotherapeutic approaches, including motivational interviewing, cognitive behavioral therapy, 12-step programs and contingency management have been demonstrated to be efective.","Cognitive Behavioral Therapy, Motivational Interviewing"
39128052,"Leptospirosis, a zoonosis, is characterized by a wide range of clinical and laboratory findings, varying from self-limiting infection to potentially fatal disease.","Disease, Leptospirosis, Laboratory Infection"
39128052,"Leptospirosis-related clinical manifestations, except for Weil's disease, may often be overlooked due to their nonspecificity in children.","Disease, Weil Disease"
39128052,"Additionally, many health-care professionals lack awareness of leptospirosis.","Leptospirosis, Awareness"
39128052,This paper presents a case of leptospirosis that was initially misdiagnosed as staphylococcal toxic shock syndrome.,"Leptospirosis, Shock, Syndrome"
39128048,Increasing the availability of Turkish sleep tools for children and adult will improve the chance of intervention by increasing the identification of sleep disorders.,"Sleep, Adult Children"
39128045,"Bariatric surgery, which has become widespread in recent years, stands out as a method for providing permanent weight loss in obesity treatment.","Obesity, Weight Loss"
39128045,It is considered the most efective treatment method for addressing diseases such as hypertension and diabetes accompanying obesity.,"Obesity, Hypertension"
39128045,"Early postoperative complications include bleeding, atelectasis, venous thromboembolism, anastomotic leakage, and rhabdomyolysis.","Venous Thromboembolism, Postoperative Complications, Rhabdomyolysis, Thromboembolism"
39128045,"On the other side, late postoperative complications include dumping syndrome, marginal ulcers, and nutritional and vitamin deficiencies.","Postoperative Complications, Dumping Syndrome, Syndrome"
39128045,"Prevention, early diagnosis, and treatment of these complications are essential for the success of bariatric surgery to prevent morbidity and mortality.","Early Diagnosis, Diagnosis"
39128033,"Dental caries is a prevalent chronic disease on a global scale, afecting individuals at some point in their lives.","Dental Caries, Disease, Chronic Disease"
39128033,"Odontogenic infections (OIs) arise from dental origins and can be caused by several pathologies, such as caries, trauma, pericoronitis, gingivitis, and iatrogenic factors.","Pericoronitis, Dental Caries, Gingivitis, Infections"
39128033,"Dental caries is a prevalent chronic disease on a global scale, afecting individuals at some point in their lives.","Dental Caries, Disease, Chronic Disease"
39128033,"These complications include necrotizing fasciitis, cerebral abscess, orbital cellulitis, descending necrotizing mediastinitis, sepsis, and cavernous sinus thrombosis.","Fasciitis, Cavernous Sinus Thrombosis, Sepsis, Thrombosis, Mediastinitis, Orbital Cellulitis, Fasciitis, Necrotizing, Abscess, Cellulitis"
39128033,Early diagnosis and treatment are crucial for determining the clinical course of odontogenic infections.,"Early Diagnosis, Diagnosis, Infections"
39128029,Psychiatric Disorders During Pregnancy and Postpartum Period: A Guide For Perinatal Interview.,"Pregnancy, Postpartum Period"
39128029,"Many diagnoses, including depressive disorders, anxiety disorders, bipolar disorder, and psychotic disorders, appear in these periods.","Bipolar Disorder, Anxiety Disorders, Depressive Disorder, Psychotic Disorders, Anxiety"
39128029,"Perinatal mental problems can harm the physical and emotional development of the baby as well as the health of the mother, and these problems bring a significant burden of disease globally.","Disease, Mental Health"
39119355,Regulators of clonal hematopoiesis and physiological consequences of this condition.,"Clonal Hematopoiesis, Hematopoiesis"
39119355,Clonal hematopoiesis (CH) is a prevalent condition that results from somatic mutations in hematopoietic stem cells.,"Clonal Hematopoiesis, Hematopoiesis"
39119355,"While most clonal expansions of mutant cells are generally considered to be asymptomatic since they do not impact overall blood cell numbers, CH carriers face long-term risks of all-cause mortality and age-associated diseases, including cardiovascular disease and hematological malignancies.","Disease, Cardiovascular Diseases, Asymptomatic Diseases"
39119355,"While considerable research has focused on understanding the association between CH and these diseases, less attention has been given to exploring the regulatory factors that contribute to the expansion of the driver gene clone.","Association, Attention"
39118948,"Cardiovascular diseases (CVDs), particularly stroke and myocardial infarction (MI) contributed to the leading cause of death annually among the chronic diseases globally.","Cardiovascular Diseases, Myocardial Infarction, Death, Infarction, Stroke"
39115983,Outcomes of the intraoperative relaxed muscle positioning technique in strabismus surgery for thyroid eye disease.,"Disease, Strabismus"
39115983,The intraoperative relaxed muscle positioning (IRMP) technique for strabismus surgery in thyroid eye disease (TED) involves recessing muscles' insertions to positions where they rest without tension.,"Disease, Strabismus"
39114758,Metabolic Dysfunction-Associated Steatotic Liver Disease and Metabolic Dysfunction-Associated Steatotic Liver Disease with Increased Alcohol Intake Increase the Risk of Developing Hepatocellular Carcinoma and Incident or Decompensated Cirrhosis: A Korean Nationwide Study.,"Carcinoma, Liver Cirrhosis, Disease"
39114756,"Despite the emergence of atezolizumab and bevacizumab (A + B) as standard first-line systemic therapy for unresectable hepatocellular carcinoma (HCC), a comprehensive understanding of the clinical significance of immune-related adverse events (irAEs) remains limited.","Carcinoma, Carcinoma, Hepatocellular"
39109852,Role of NLRP3 Inflammasomes in Neurodegenerative Diseases.,"Role, Neurodegenerative Diseases"
39109852,Large-scale neuronal degeneration in the human brain is a hallmark of neurodegenerative diseases.,"Neurodegenerative Diseases, Brain Diseases"
39109852,"Within the scope of this review, experimental and human studies evaluating the role of NLRP3 inflammasome activation and the efects of its inhibition in neurodegenerative diseases frequently encountered in society have been compiled with studies from past to present.","Role, Neurodegenerative Diseases"
39109827,Artificial Intelligence in Stroke Imaging: A Comprehensive Review.,"Intelligence, Stroke"
39109827,"The AI methods that can be applied to stroke imaging have a broad range, including classical machine learning tools such as support vector machines, random forests, logistic regression, and linear discriminant analysis, as well as deep learning models, such as convolutional neural networks, recurrent neural networks, autoencoders, and U-Net.","Learning, Stroke"
39109811,"Alcohol consumption poses a significant risk for the development of chronic illnesses, one of the leading causes of ""preventable"" disease and death worldwide.","Disease, Death, Chronic Disease"
39109811,"Hepatocellular carcinoma, cirrhosis, fibrosis, steatosis, and steatohepatitis are among the liver illnesses caused by alcohol.","Carcinoma, Liver Cirrhosis, Carcinoma, Hepatocellular, Fibrosis"
39108323,Ruminative Variability Predicts Increases in Depression and Social Anxiety.,"Depression, Anxiety"
39108323,Rumination is a well-established contributor to the severity of depression and anxiety.,"Depression, Anxiety"
39108323,"It is unknown, however, whether individual differences in the temporal dynamics of rumination over time predict longitudinal increases in depression or anxiety.","Depression, Anxiety"
39104687,"This paper proposes an Adaptive Fuzzy Iterative Learning Control (AFILC) framework for closed-loop neural stimulation, which can realize neuromodulation with no model or model uncertainty.","Learning, Uncertainty"
39104683,"Different physiological measures such as Electroencephalography (EEG), Functional Magnetic Resonance Imaging, Functional near-infrared spectroscopy, respiratory activity, and eye activity are efficiently used to estimate workload levels with the help of machine learning or deep learning techniques.","Learning, Magnetic Resonance Imaging, Spectroscopy, Near-Infrared, Electroencephalography"
39104671,"Hearing impairment is considered to be related to the damage of hair cells or synaptic terminals, which will cause varying degrees of hearing loss.","Hearing, Hearing Loss"
39104670,The ISI distribution obtained from the FHN system is investigated to relate the real electromyography (EMG) measurements under different conditions such as myokymia and neuromyotonia.,"Myokymia, Electromyography"
39104668,Computational study of associations between the synaptic conductance of STN and GPe and the development of Parkinson's disease.,"Disease, Parkinson Disease"
