cui,term,semantic_type
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,abdominal pain,T184
C0000737,abdominal pain,T184
C0000737,abdominal pain,T184
C0000737,abdominal pain,T184
C0000737,abdominal pain,T184
C0000737,abdominal; pain,T184
C0000737,Abdominal Pains,T184
C0000737,ABDOMINAL PAIN NOS,T184
C0000737,"Pains, Abdominal",T184
C0000737,Abdominal pain NOS,T184
C0000737,abdominal pains,T184
C0000737,"Pain, Abdominal",T184
C0000737,"Pain, Abdominal",T184
C0000737,Stomach pain,T184
C0000737,Pain in stomach,T184
C0000737,"Abdominal pain, unspecified site",T184
C0000737,AP - Abdominal pain,T184
C0000737,AP - Abdominal pain,T184
C0000737,Gut pain,T184
C0000737,gut pain,T184
C0000737,abdomen pain,T184
C0000737,ABDOMEN PAIN,T184
C0000737,Abdominal pain (finding),T184
C0000737,abdominalgia,T184
C0000737,abdominal pain (symptom),T184
C0000737,Bellyache,T184
C0000737,Bellyache,T184
C0000737,Unspecified abdominal pain,T184
C0000848,Posterior tibial pulse absent,T184
C0000848,Posterior tibial pulse absent,T184
C0000848,ABSENT POSTERIOR TIBIAL PULSE,T184
C0000848,Posterior tibial pulse absent (finding),T184
C0001416,Adenitis,T184
C0001416,Adenitis,T184
C0001416,Adenitis,T184
C0001416,Adenitis,T184
C0001416,Adenitis,T184
C0001416,Adenitis,T184
C0001416,adenitis,T184
C0001416,adenitis,T184
C0001416,adenitis,T184
C0001416,Adenitides,T184
C0001416,"Adenitis, NOS",T184
C0001684,ADVANCED TROPHIC CHANGES OF THE FOOT,T184
C0001726,Affective Symptoms,T184
C0001726,Affective Symptom,T184
C0001726,"Symptom, Affective",T184
C0001726,"Symptoms, Affective",T184
C0002758,Anal or rectal pain,T184
C0002962,Angina Pectoris,T184
C0002962,Angina Pectoris,T184
C0002962,Angina Pectoris,T184
C0002962,Angina Pectoris,T184
C0002962,pectoris angina,T184
C0002962,ANGINA PECTORIS,T184
C0002962,ANGINA PECTORIS,T184
C0002962,ANGINA PECTORIS,T184
C0002962,ANGINA PECTORIS,T184
C0002962,ANGINA PECTORIS,T184
C0002962,ANGINA PECTORIS,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,Angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,angina pectoris,T184
C0002962,"Angina pectoris, NOS",T184
C0002962,Angina,T184
C0002962,Angina,T184
C0002962,Angina,T184
C0002962,Angina,T184
C0002962,Angina,T184
C0002962,Angina,T184
C0002962,Angina,T184
C0002962,ANGINA,T184
C0002962,ANGINA,T184
C0002962,ANGINA,T184
C0002962,ANGINA,T184
C0002962,angina,T184
C0002962,angina,T184
C0002962,angina,T184
C0002962,"Angina, NOS",T184
C0002962,"Angina, NOS",T184
C0002962,Angina NOS,T184
C0002962,anginas,T184
C0002962,Anginal pain,T184
C0002962,Anginal pain,T184
C0002962,ANGINAL PAIN,T184
C0002962,ANGINAL PAIN,T184
C0002962,anginal pain,T184
C0002962,anginal pain,T184
C0002962,Angor Pectoris,T184
C0002962,angor pectoris,T184
C0002962,angor pectoris,T184
C0002962,Stenocardia,T184
C0002962,Stenocardia,T184
C0002962,Stenocardia,T184
C0002962,Stenocardia,T184
C0002962,Stenocardia,T184
C0002962,stenocardia,T184
C0002962,stenocardia,T184
C0002962,stenocardia,T184
C0002962,Stenocardias,T184
C0002962,Cardiac angina syndrome,T184
C0002962,Angina of effort,T184
C0002962,Angina pectoris syndrome,T184
C0002962,Anginal syndrome,T184
C0002962,Anginal syndrome,T184
C0002962,Anginal syndrome,T184
C0002962,Anginal syndrome,T184
C0002962,Anginal syndrome,T184
C0002962,Anginal syndrome,T184
C0002962,syndrome; anginal,T184
C0002962,ANGINAL SYNDROME,T184
C0002962,ANGINAL SYNDROME,T184
C0002962,anginal syndrome,T184
C0002962,anginal; syndrome,T184
C0002962,ANGINAL SYNDROMES,T184
C0002962,Cardiac angina,T184
C0002962,Cardiac angina,T184
C0002962,Cardiac angina,T184
C0002962,"Angina, cardiac",T184
C0002962,cardiac angina,T184
C0002962,Ischemic heart disease - angina,T184
C0002962,Ischemic heart disease - angina,T184
C0002962,Ischaemic heart disease - angina,T184
C0002962,Ischaemic heart disease - angina,T184
C0002962,Ischemic heart disease with angina,T184
C0002962,Ischaemic heart disease with angina,T184
C0002962,"Angina pectoris, unspecified",T184
C0002962,"Angina pectoris, unspecified",T184
C0002962,"Angina pectoris, unspecified",T184
C0002962,AP - Angina pectoris,T184
C0002962,AP - Angina pectoris,T184
C0002962,Ischemic chest pain (diagnosis),T184
C0002962,Ischemic chest pain,T184
C0002962,Ischemic chest pain,T184
C0002962,Ischemic chest pain,T184
C0002962,Ischemic chest pain,T184
C0002962,Ischemic chest pain,T184
C0002962,chest pain ischemic,T184
C0002962,"chest; pain, ischemic",T184
C0002962,"pain; chest, ischemic",T184
C0002962,ischemic chest pain,T184
C0002962,Ischaemic chest pain,T184
C0002962,Ischaemic chest pain,T184
C0002962,Ischaemic chest pain,T184
C0002962,Angina syndrome,T184
C0002962,angina pain,T184
C0002962,angina pain,T184
C0002962,Pain;angina,T184
C0002962,pain angina,T184
C0002962,Anginal discomfort,T184
C0002962,Angina (disorder),T184
C0002962,Ischemic chest pain (finding),T184
C0002962,angina pectoris (diagnosis),T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,Aniseikonia,T184
C0003078,aniseikonia,T184
C0003078,aniseikonia,T184
C0003078,aniseikonia,T184
C0003078,Aniseikonia (disorder),T184
C0003078,aniseikonia (diagnosis),T184
C0003129,Anoxemia,T184
C0003129,Anoxemia,T184
C0003129,Anoxemia,T184
C0003129,Anoxemia,T184
C0003129,Anoxemia,T184
C0003129,Anoxemia,T184
C0003129,Anoxemia,T184
C0003129,anoxemia,T184
C0003129,anoxemia,T184
C0003129,anoxaemia,T184
C0003129,Anoxaemia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,Aphonia,T184
C0003564,APHONIA,T184
C0003564,APHONIA,T184
C0003564,APHONIA,T184
C0003564,aphonia,T184
C0003564,aphonia,T184
C0003564,aphonia,T184
C0003564,aphonia,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,Loss of voice,T184
C0003564,loss of voice,T184
C0003564,loss of voice,T184
C0003564,loss voice,T184
C0003564,Loss (of);voice,T184
C0003564,loss; voice,T184
C0003564,voice loss,T184
C0003564,voice loss,T184
C0003564,voice; loss,T184
C0003564,Absence of Voice,T184
C0003564,Absence of voice,T184
C0003564,Absence of voice,T184
C0003564,absence of voice,T184
C0003564,Voice Absence,T184
C0003564,Voice Absences,T184
C0003564,Does not phonate,T184
C0003564,Does not phonate,T184
C0003564,Does not produce voice,T184
C0003564,Does not produce voice,T184
C0003564,Does not vocalize,T184
C0003564,Does not vocalise,T184
C0003564,Does not vocalise,T184
C0003564,aphonia (physical finding),T184
C0003564,Loss of voice (finding),T184
C0003564,speech phonation aphonia,T184
C0003564,aphonia was observed,T184
C0003564,Aphonia (disorder),T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,Apnea,T184
C0003578,APNEA,T184
C0003578,APNEA,T184
C0003578,APNEA,T184
C0003578,APNEA,T184
C0003578,APNEA,T184
C0003578,apnea,T184
C0003578,apnea,T184
C0003578,apnea,T184
C0003578,apnea,T184
C0003578,apnea,T184
C0003578,apnea,T184
C0003578,Apneas,T184
C0003578,APNEAS,T184
C0003578,APNOEA,T184
C0003578,APNOEA,T184
C0003578,"Apnea, NOS",T184
C0003578,"Apnoea, NOS",T184
C0003578,Apnoea,T184
C0003578,Apnoea,T184
C0003578,Apnoea,T184
C0003578,Apnoea,T184
C0003578,Apnoea,T184
C0003578,Apnoea,T184
C0003578,Apnoea,T184
C0003578,Apnea NOS,T184
C0003578,apneas,T184
C0003578,apnoeas,T184
C0003578,apnoea,T184
C0003578,apnoea,T184
C0003578,pulmonary arrest,T184
C0003578,Has stopped breathing,T184
C0003578,Has stopped breathing,T184
C0003578,Not breathing,T184
C0003578,Not breathing,T184
C0003578,Not breathing,T184
C0003578,not breathing,T184
C0003578,Apneic,T184
C0003578,Apneic,T184
C0003578,APNEIC,T184
C0003578,Apnoeic,T184
C0003578,Apnoeic,T184
C0003578,Stops breathing,T184
C0003578,Stops breathing,T184
C0003578,breathing stops,T184
C0003578,stops breathing,T184
C0003578,breathing stopping,T184
C0003578,breathing stopping,T184
C0003578,breathing stop,T184
C0003578,stopped breathing,T184
C0003578,Apnea (finding),T184
C0003578,Stops breathing (finding),T184
C0003578,Apneic episodes,T184
C0003578,Apneic episodes,T184
C0003578,Absence of spontaneous respiration,T184
C0003578,apnea (physical finding),T184
C0003580,Drug-induced apnea,T184
C0003580,Drug-induced apnea,T184
C0003580,"Apnea, drug induced",T184
C0003580,drug-induced apnea,T184
C0003580,Drug-induced apnoea,T184
C0003580,Drug-induced apnoea,T184
C0003580,drug-induced apnea (physical finding),T184
C0003580,Drug-induced apnea (finding),T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,Arthralgia,T184
C0003862,ARTHRALGIA,T184
C0003862,ARTHRALGIA,T184
C0003862,ARTHRALGIA,T184
C0003862,ARTHRALGIA,T184
C0003862,ARTHRALGIA,T184
C0003862,arthralgia,T184
C0003862,arthralgia,T184
C0003862,arthralgia,T184
C0003862,arthralgia,T184
C0003862,arthralgia,T184
C0003862,arthralgia,T184
C0003862,ARTHRALGIAS,T184
C0003862,Arthralgias,T184
C0003862,Arthralgias,T184
C0003862,Arthralgias,T184
C0003862,arthralgias,T184
C0003862,Joint Pain,T184
C0003862,Joint Pain,T184
C0003862,PAIN JOINT,T184
C0003862,Pain joint,T184
C0003862,JOINT PAIN,T184
C0003862,JOINT PAIN,T184
C0003862,JOINT PAIN,T184
C0003862,JOINT PAIN,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,Joint pain,T184
C0003862,joint pain,T184
C0003862,joint pain,T184
C0003862,joint pain,T184
C0003862,Pain in joint,T184
C0003862,Pain in joint,T184
C0003862,Pain in joint,T184
C0003862,Pain in joint,T184
C0003862,Pain in joint,T184
C0003862,JOINT PAINS,T184
C0003862,Joint Pains,T184
C0003862,"Pains, Joint",T184
C0003862,Pain in joints,T184
C0003862,Pain in joints,T184
C0003862,joints pain,T184
C0003862,Pain;joint(s),T184
C0003862,Joint pains,T184
C0003862,Joint pains,T184
C0003862,"Pain, Joint",T184
C0003862,Aching joints,T184
C0003862,aching joints,T184
C0003862,JOINT ACHE,T184
C0003862,JOINT ACHE,T184
C0003862,Ache in joint,T184
C0003862,aching joint,T184
C0003862,joint ache,T184
C0003862,Joint ache,T184
C0003862,Arthritic-like pain,T184
C0003862,ARTHRITIC-LIKE PAIN,T184
C0003862,Painful joint,T184
C0003862,Painful joint,T184
C0003862,painful joint,T184
C0003862,painful joints,T184
C0003862,Painful joints,T184
C0003862,Painful joints,T184
C0003862,Painful joints,T184
C0003862,Painful joints,T184
C0003862,Painful joints,T184
C0003862,"Pain in joint, site unspecified",T184
C0003862,"Pain in joint, site unspecified",T184
C0003862,Articular pain,T184
C0003862,Articular pain,T184
C0003862,articular pain,T184
C0003862,arthralgia (diagnosis),T184
C0003862,Discomfort in joints,T184
C0003862,"Pain in a joint, site unspecified",T184
C0003862,Joint pain (finding),T184
C0003862,Arthrodynia,T184
C0003862,arthrodynia,T184
C0003862,diffuse joint pains,T184
C0003862,diffuse arthralgia,T184
C0003862,diffuse joint pains (symptom),T184
C0004059,aspirin intolerance,T184
C0004059,ASPIRIN INTOLERANCE,T184
C0004059,ASPIRIN INTOLERANCE,T184
C0004059,ASPIRIN INTOLERANCE,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,Asthenia,T184
C0004093,ASTHENIA,T184
C0004093,ASTHENIA,T184
C0004093,ASTHENIA,T184
C0004093,asthenia,T184
C0004093,asthenia,T184
C0004093,asthenia,T184
C0004093,asthenia,T184
C0004093,asthenia,T184
C0004093,asthenia,T184
C0004093,Asthenia NOS,T184
C0004093,Asthenia NOS,T184
C0004093,Weakness,T184
C0004093,Weakness,T184
C0004093,Asthenic,T184
C0004093,asthenia (physical finding),T184
C0004093,Lack of energy and strength,T184
C0004093,general body state asthenia,T184
C0004093,Asthenia (finding),T184
C0004093,asthenia (diagnosis),T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,Asthenopia,T184
C0004095,ASTHENOPIA,T184
C0004095,asthenopia,T184
C0004095,asthenopia,T184
C0004095,asthenopia,T184
C0004095,Eyestrain,T184
C0004095,Eyestrain,T184
C0004095,Eyestrain,T184
C0004095,eyestrain,T184
C0004095,eyestrain,T184
C0004095,eyestrain,T184
C0004095,Accommodative asthenopia,T184
C0004095,Accommodative asthenopia,T184
C0004095,Accommodative asthenopia,T184
C0004095,Accommodative asthenopia,T184
C0004095,"ASTHENOPIA, ACCOMMODATIVE",T184
C0004095,Visual Fatigue,T184
C0004095,visual fatigue,T184
C0004095,"Fatigue, Visual",T184
C0004095,Accommodative strain,T184
C0004095,Accommodative strain,T184
C0004095,Simple eye strain,T184
C0004095,Simple eye strain,T184
C0004095,Tired eyes,T184
C0004095,Tired eyes,T184
C0004095,Tired eyes,T184
C0004095,tired eyes,T184
C0004095,tired eyes,T184
C0004095,eye tired,T184
C0004095,eye tire,T184
C0004095,tired eye,T184
C0004095,TIRED EYE,T184
C0004095,Eye tired,T184
C0004095,Tired eye,T184
C0004095,Eye Fatigue,T184
C0004095,fatigue eye,T184
C0004095,eye fatigue,T184
C0004095,eyes fatigue,T184
C0004095,"Fatigue, Eye",T184
C0004095,Accommodative asthenopia (finding),T184
C0004095,Eye strain (finding),T184
C0004095,accommodation; asthenopia,T184
C0004095,asthenopia; accommodation,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,Eye strain,T184
C0004095,strain; eye,T184
C0004095,Eye Strain,T184
C0004095,eye strain,T184
C0004095,eye strain,T184
C0004095,eye; strain,T184
C0004095,eye straining,T184
C0004095,eye strains,T184
C0004095,eyes strained,T184
C0004095,eyes straining,T184
C0004095,eye strain (symptom),T184
C0004095,eye strain (asthenopia),T184
C0004095,eyestrain (diagnosis),T184
C0004095,tired eyes (symptom),T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,Ataxia,T184
C0004134,ATAXIA,T184
C0004134,ATAXIA,T184
C0004134,ATAXIA,T184
C0004134,ATAXIA,T184
C0004134,ataxia,T184
C0004134,ataxia,T184
C0004134,ataxia,T184
C0004134,ataxia,T184
C0004134,ataxia,T184
C0004134,ataxia,T184
C0004134,ataxia,T184
C0004134,Ataxias,T184
C0004134,"Ataxia, NOS",T184
C0004134,Ataxia NOS,T184
C0004134,"Ataxia,",T184
C0004134,Ataxy,T184
C0004134,Dyssynergia,T184
C0004134,Dyssynergia,T184
C0004134,Dyssynergia,T184
C0004134,Dyssynergia,T184
C0004134,dyssynergia,T184
C0004134,"Ataxia, unspecified",T184
C0004134,"Ataxia, unspecified",T184
C0004134,"Ataxia, unspecified",T184
C0004134,Ataxia (loss of muscle coordination),T184
C0004134,Coordination Impairment,T184
C0004134,Coordination Impairments,T184
C0004134,"Impairments, Coordination",T184
C0004134,"Impairment, Coordination",T184
C0004134,Ataxia (finding),T184
C0004134,walk is wobbly or unsteady (symptom),T184
C0004134,reported ataxia,T184
C0004134,walk is wobbly or unsteady as symptom,T184
C0004134,walk is wobbly or unsteady,T184
C0004134,ataxia (diagnosis),T184
C0004317,Aural headache,T184
C0004317,Aural headache,T184
C0004317,Aural headache,T184
C0004317,Aural headache (finding),T184
C0004604,Back Pain,T184
C0004604,Back Pain,T184
C0004604,Back Pain,T184
C0004604,Back Pain,T184
C0004604,Back Pain,T184
C0004604,PAIN BACK,T184
C0004604,Pain back,T184
C0004604,Pain;back,T184
C0004604,pain; back,T184
C0004604,BACK PAIN,T184
C0004604,BACK PAIN,T184
C0004604,BACK PAIN,T184
C0004604,BACK PAIN,T184
C0004604,BACK PAIN,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,Back pain,T184
C0004604,back pain,T184
C0004604,back pain,T184
C0004604,back pain,T184
C0004604,back pain,T184
C0004604,back pain,T184
C0004604,back; pain,T184
C0004604,Back Pains,T184
C0004604,"Pains, Back",T184
C0004604,Pain in back,T184
C0004604,Pain in back,T184
C0004604,Pain in back,T184
C0004604,Pain in back,T184
C0004604,Back pain NOS,T184
C0004604,and back pain,T184
C0004604,back pain in,T184
C0004604,back paining,T184
C0004604,back pains,T184
C0004604,backs pain,T184
C0004604,pain in back,T184
C0004604,"Pain, Back",T184
C0004604,"Pain, Back",T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,Backache,T184
C0004604,BACKACHE,T184
C0004604,backache,T184
C0004604,backache,T184
C0004604,backache,T184
C0004604,backache,T184
C0004604,backache,T184
C0004604,backache,T184
C0004604,Backaches,T184
C0004604,Backaches,T184
C0004604,"Backache, NOS",T184
C0004604,backaches,T184
C0004604,Backache NOS,T184
C0004604,Back Ache,T184
C0004604,ache back,T184
C0004604,BACK ACHE,T184
C0004604,BACK ACHE,T184
C0004604,Back ache,T184
C0004604,Back ache,T184
C0004604,back ache,T184
C0004604,back ache,T184
C0004604,"Aches, Back",T184
C0004604,Back Aches,T184
C0004604,aches back,T184
C0004604,back aches,T184
C0004604,"Ache, Back",T184
C0004604,Pain dorsal,T184
C0004604,DORSAL PAIN,T184
C0004604,DORSAL PAIN,T184
C0004604,dorsal pain,T184
C0004604,Dorsal pain,T184
C0004604,PAIN DORSAL,T184
C0004604,Dorsalgia,T184
C0004604,Dorsalgia,T184
C0004604,Dorsalgia,T184
C0004604,Dorsalgia,T184
C0004604,Dorsalgia,T184
C0004604,Dorsalgia,T184
C0004604,dorsalgia,T184
C0004604,dorsalgia,T184
C0004604,Dorsodynia,T184
C0004604,dorsodynia,T184
C0004604,notalgia,T184
C0004604,Notalgia,T184
C0004604,dorsal back pain,T184
C0004604,DORSAL BACK PAIN,T184
C0004604,"Backache, unspecified",T184
C0004604,"Backache, unspecified",T184
C0004604,Backache; unspecified,T184
C0004604,unspecified back pain,T184
C0004604,backache symptoms,T184
C0004604,backache symptom,T184
C0004604,"Dorsalgia, unspecified",T184
C0004604,"Dorsalgia, unspecified",T184
C0004604,Unspecified dorsalgia,T184
C0004604,dorsalgia unspecified,T184
C0004604,Dorsalgia (diagnosis),T184
C0004604,dorsopathy dorsalgia,T184
C0004604,Pain over the back,T184
C0004604,pain over the back,T184
C0004604,back over pain,T184
C0004604,back pain over,T184
C0004604,Backache (finding),T184
C0004604,backpain,T184
C0004604,BACKPAIN,T184
C0004604,back pain (symptom),T184
C0004604,back ache (diagnosis),T184
C0004941,Behavioral Symptoms,T184
C0004941,Behavioral Symptoms,T184
C0004941,behavioral symptoms,T184
C0004941,Behavioral symptoms,T184
C0004941,Behavioral symptoms,T184
C0004941,Behavioral symptoms,T184
C0004941,Behavioral symptoms,T184
C0004941,Behavioral symptoms,T184
C0004941,Behavioral Symptom,T184
C0004941,"Symptom, Behavioral",T184
C0004941,Behavioural symptoms,T184
C0004941,"Symptoms, Behavioral",T184
C0004941,Behavior change,T184
C0004941,behavior change,T184
C0004941,behavior change (symptom),T184
C0004941,Atypical behavior,T184
C0004941,Altered behavior,T184
C0004941,Altered behaviour,T184
C0004941,Altered behavior (finding),T184
C0004941,Behavioural/psychiatric abnormality,T184
C0005409,Schistosomal pigment deposition,T184
C0005409,Bilharzial pigment deposition,T184
C0005409,Bilharzial pigment deposition,T184
C0005409,Schistosomal pigment deposition (disorder),T184
C0005409,Schistosomal pigmentation,T184
