Tree Number,Disease Name
C04.557.470.625.050,Adenofibroma
C04.557.435.075,Adenolymphoma
C04.557.470.035,Adenoma
C04.557.465.625.650.075,"Adenoma, Basophil"
C04.557.470.035.075,"Adenoma, Basophil"
C04.557.580.625.650.075,"Adenoma, Basophil"
C04.557.465.625.650.095,"Adenoma, Chromophobe"
C04.557.470.035.095,"Adenoma, Chromophobe"
C04.557.580.625.650.095,"Adenoma, Chromophobe"
C04.557.465.625.650.025,"Adenoma, Acidophil"
C04.557.470.035.025,"Adenoma, Acidophil"
C04.557.580.625.650.025,"Adenoma, Acidophil"
C01.925.256.076,Adenoviridae Infections
C01.925.256.076.045,"Adenovirus Infections, Human"
C23.550.355.274.840,Tissue Adhesions
C10.177.045,Adie Syndrome
C10.292.562.700.250,Adie Syndrome
C11.590.436.200,Adie Syndrome
C11.710.800.180,Adie Syndrome
C17.800.463.249,Adiposis Dolorosa
C18.452.584.718.500,Adiposis Dolorosa
C12.050.351.500.056,Adnexal Diseases
C12.100.250.056,Adnexal Diseases
C01.635.500,Pelvic Inflammatory Disease
C12.050.351.500.056.750,Pelvic Inflammatory Disease
C12.100.250.056.750,Pelvic Inflammatory Disease
C19.053.098,Adrenal Cortex Diseases
C04.588.322.078.265,Adrenal Cortex Neoplasms
C19.053.098.265,Adrenal Cortex Neoplasms
C19.053.347.500,Adrenal Cortex Neoplasms
C19.344.078.265,Adrenal Cortex Neoplasms
C19.053,Adrenal Gland Diseases
C19.053.800,Adrenocortical Hyperfunction
C19.053.500,Adrenal Insufficiency
C04.588.322.078,Adrenal Gland Neoplasms
C19.053.347,Adrenal Gland Neoplasms
C19.344.078,Adrenal Gland Neoplasms
C12.050.351.875.253.090.500,"Adrenal Hyperplasia, Congenital"
C12.200.706.316.090.500,"Adrenal Hyperplasia, Congenital"
C12.800.316.090.500,"Adrenal Hyperplasia, Congenital"
C16.131.939.316.129.500,"Adrenal Hyperplasia, Congenital"
C16.320.033,"Adrenal Hyperplasia, Congenital"
C16.320.565.925.249,"Adrenal Hyperplasia, Congenital"
C18.452.648.925.249,"Adrenal Hyperplasia, Congenital"
C19.053.440,"Adrenal Hyperplasia, Congenital"
C19.391.119.090.500,"Adrenal Hyperplasia, Congenital"
C04.557.470.035.232,Adrenal Rest Tumor
C10.228.140.163.100.084,Adrenoleukodystrophy
C10.228.140.163.100.362.250,Adrenoleukodystrophy
C10.228.140.695.625.250,Adrenoleukodystrophy
C10.314.400.250,Adrenoleukodystrophy
C10.597.606.360.455.124,Adrenoleukodystrophy
C16.320.322.500.124,Adrenoleukodystrophy
C16.320.400.525.124,Adrenoleukodystrophy
C16.320.565.189.084,Adrenoleukodystrophy
C16.320.565.189.362.250,Adrenoleukodystrophy
C16.320.565.663.100,Adrenoleukodystrophy
C18.452.132.100.084,Adrenoleukodystrophy
C18.452.132.100.362.250,Adrenoleukodystrophy
C18.452.648.189.084,Adrenoleukodystrophy
C18.452.648.189.362.250,Adrenoleukodystrophy
C18.452.648.663.100,Adrenoleukodystrophy
C19.053.500.270,Adrenoleukodystrophy
C23.888.821.061,Aerophagy
C06.405.469.531.099,Afferent Loop Syndrome
C23.550.767.050,Afferent Loop Syndrome
C15.378.100.100.056,Afibrinogenemia
C15.378.100.141.072,Afibrinogenemia
C15.378.463.067,Afibrinogenemia
C16.320.099.056,Afibrinogenemia
C01.920.313.030,African Horse Sickness
C01.925.081.030,African Horse Sickness
C01.925.782.791.142,African Horse Sickness
C22.488.088,African Horse Sickness
C01.920.930.125,African Swine Fever
C01.925.081.078,African Swine Fever
C01.925.256.142,African Swine Fever
C22.905.072,African Swine Fever
C15.378.147.142,Agammaglobulinemia
C15.604.515.032,Agammaglobulinemia
C20.673.088,Agammaglobulinemia
C10.597.751.861.184,Ageusia
C23.888.592.763.861.184,Ageusia
C10.597.606.762.100,Agnosia
C23.888.592.604.764.100,Agnosia
C15.378.243.750.184,Agranulocytosis
C15.378.553.546.184,Agranulocytosis
C10.597.606.150.500.050,Agraphia
C10.597.606.150.550.700.125,Agraphia
C23.888.592.604.150.500.050,Agraphia
C23.888.592.604.150.550.700.125,Agraphia
C24.080,Agricultural Workers' Diseases
C01.221.250.875.080,AIDS-Related Complex
C01.221.812.640.400.080,AIDS-Related Complex
C01.778.640.400.080,AIDS-Related Complex
C01.925.782.815.616.400.080,AIDS-Related Complex
C01.925.813.400.080,AIDS-Related Complex
C01.925.839.080,AIDS-Related Complex
C12.100.937.640.400.080,AIDS-Related Complex
C20.673.480.080,AIDS-Related Complex
C05.116.264.143,Ainhum
C08.618.846.185,Airway Obstruction
C10.228.140.042,Akinetic Mutism
C11.270.040,Albinism
C16.320.290.040,Albinism
C16.320.565.100.102,Albinism
C16.320.850.080,Albinism
C17.800.621.440.102,Albinism
C17.800.827.080,Albinism
C18.452.648.100.102,Albinism
C12.050.351.968.934.734.269,Albuminuria
C12.200.777.934.734.269,Albuminuria
C12.950.934.734.269,Albuminuria
C23.888.942.750.269,Albuminuria
C10.720.112.100,Alcohol Amnestic Disorder
C25.723.705.150.100,Alcohol Amnestic Disorder
C25.775.100.087.193.100,Alcohol Amnestic Disorder
C10.720.112.200,Alcohol Withdrawal Delirium
C25.723.705.150.200,Alcohol Withdrawal Delirium
C25.775.100.087.193.200,Alcohol Withdrawal Delirium
C25.775.835.250,Alcohol Withdrawal Delirium
C25.775.100.175,Alcoholic Intoxication
C25.775.100.250,Alcoholism
C01.925.256.700.091,Aleutian Mink Disease
C01.925.839.091,Aleutian Mink Disease
C11.270.040.772.270,Aleutian Mink Disease
C20.673.774.257.270,Aleutian Mink Disease
C22.062,Aleutian Mink Disease
C18.452.076.354,Alkalosis
C08.618.501.271,"Alkalosis, Respiratory"
C18.452.076.354.271,"Alkalosis, Respiratory"
C16.320.565.100.187,Alkaptonuria
C18.452.648.100.187,Alkaptonuria
C17.800.329.937.122,Alopecia
C23.300.035,Alopecia
C17.800.329.937.122.147,Alopecia Areata
C17.300.550.550,"Mucinosis, Follicular"
C17.800.329.937.122.550,"Mucinosis, Follicular"
C17.800.794.550,"Mucinosis, Follicular"
C08.618.020,Altitude Sickness
C08.381.483.125,"Alveolitis, Extrinsic Allergic"
C08.674.055,"Alveolitis, Extrinsic Allergic"
C20.543.480.680.075,"Alveolitis, Extrinsic Allergic"
C10.228.140.380.100,Alzheimer Disease
C10.574.945.249,Alzheimer Disease
C10.228.140.055,Amblyopia
C10.597.751.941.073,Amblyopia
C11.966.073,Amblyopia
C23.888.592.763.941.073,Amblyopia
C01.610.752.049,Amebiasis
C04.557.695.065,Ameloblastoma
C07.650.800.295.250,Amelogenesis Imperfecta
C07.793.700.295.250,Amelogenesis Imperfecta
C16.131.850.800.295.250,Amelogenesis Imperfecta
C23.550.568.500,Amenorrhea
C16.320.565.100,"Amino Acid Metabolism, Inborn Errors"
C18.452.648.100,"Amino Acid Metabolism, Inborn Errors"
C12.050.351.968.419.815.885,Renal Aminoacidurias
C12.200.777.419.815.885,Renal Aminoacidurias
C12.950.419.815.885,Renal Aminoacidurias
C16.320.831.885,Renal Aminoacidurias
C10.597.606.525.100,Amnesia
C23.888.592.604.529.100,Amnesia
C10.597.606.525.100.150,"Amnesia, Retrograde"
C23.888.592.604.529.100.150,"Amnesia, Retrograde"
C16.614.042,Amniotic Band Syndrome
C26.062,"Amputation, Traumatic"
C18.452.845.500,Amyloidosis
C10.228.854.139,Amyotrophic Lateral Sclerosis
C10.574.562.250,Amyotrophic Lateral Sclerosis
C10.574.950.050,Amyotrophic Lateral Sclerosis
C10.668.467.250,Amyotrophic Lateral Sclerosis
C18.452.845.800.050,Amyotrophic Lateral Sclerosis
C04.588.083,Anal Gland Neoplasms
C04.588.274.476.411.307.790.040.040,Anal Gland Neoplasms
C06.301.371.411.307.790.040.040,Anal Gland Neoplasms
C06.405.249.411.307.790.040.040,Anal Gland Neoplasms
C06.405.469.491.307.790.040.040,Anal Gland Neoplasms
C06.405.469.860.101.163.083,Anal Gland Neoplasms
C06.405.469.860.180.500.040.040,Anal Gland Neoplasms
C22.073,Anal Gland Neoplasms
C10.668.829.700,"Pain Insensitivity, Congenital"
C16.320.775,"Pain Insensitivity, Congenital"
C20.543.480.099,Anaphylaxis
C04.697.045,Anaplasia
C23.550.727.045,Anaplasia
C01.150.252.400.054,Anaplasmataceae Infections
C01.150.252.400.054.500,Anaplasmosis
C01.920.930.163,Anaplasmosis
C22.085,Anaplasmosis
C01.610.335.508.700.775.455.154,Ancylostomiasis
C15.378.050,Anemia
C15.378.050.085,"Anemia, Aplastic"
C15.378.190.223.250,"Anemia, Aplastic"
C15.378.050.141.150.095,"Anemia, Dyserythropoietic, Congenital"
C16.320.070.095,"Anemia, Dyserythropoietic, Congenital"
C15.378.050.141,"Anemia, Hemolytic"
C15.378.050.141.125,"Anemia, Hemolytic, Autoimmune"
C20.111.175,"Anemia, Hemolytic, Autoimmune"
C15.378.050.141.150,"Anemia, Hemolytic, Congenital"
C16.320.070,"Anemia, Hemolytic, Congenital"
C15.378.050.141.150.100,"Anemia, Hemolytic, Congenital Nonspherocytic"
C16.320.070.100,"Anemia, Hemolytic, Congenital Nonspherocytic"
C15.378.050.196,"Anemia, Hypochromic"
C15.378.050.252,"Anemia, Macrocytic"
C15.378.050.252.196,"Anemia, Megaloblastic"
C15.378.050.307,"Anemia, Myelophthisic"
C15.378.190.636.085,"Anemia, Myelophthisic"
C15.378.050.363,"Anemia, Neonatal"
C16.614.053,"Anemia, Neonatal"
C15.378.050.252.196.500,"Anemia, Pernicious"
C18.654.521.500.133.699.923.280,"Anemia, Pernicious"
C15.378.050.400,"Anemia, Refractory"
C15.378.190.625.062,"Anemia, Refractory"
C15.378.050.400.080,"Anemia, Refractory, with Excess of Blasts"
C15.378.190.625.062.080,"Anemia, Refractory, with Excess of Blasts"
C15.378.050.141.150.150,"Anemia, Sickle Cell"
C15.378.420.155,"Anemia, Sickle Cell"
C16.320.070.150,"Anemia, Sickle Cell"
C16.320.365.155,"Anemia, Sickle Cell"
C15.378.050.419,"Anemia, Sideroblastic"
C15.378.190.625.070,"Anemia, Sideroblastic"
C10.500.680.196,Anencephaly
C16.131.085.197,Anencephaly
C16.131.666.680.196,Anencephaly
C23.550.210.050,Aneuploidy
C14.907.055,Aneurysm
C14.907.055.448.250,Aortic Dissection
C14.907.109.070.500,Aortic Dissection
C01.069,"Aneurysm, Infected"
C14.907.055.131,"Aneurysm, Infected"
C14.280.647.187,Angina Pectoris
C14.907.585.187,Angina Pectoris
C23.888.592.612.233.500,Angina Pectoris
C14.280.647.187.150.150,"Angina Pectoris, Variant"
C14.907.585.187.150.500,"Angina Pectoris, Variant"
C23.888.592.612.233.500.150.150,"Angina Pectoris, Variant"
C14.280.647.187.150,"Angina, Unstable"
C14.907.585.187.150,"Angina, Unstable"
C23.888.592.612.233.500.150,"Angina, Unstable"
C11.768.094,Angioid Streaks
C04.557.645.115,Angiokeratoma
C10.228.140.163.100.435.825.200,Fabry Disease
C10.228.140.300.275.374,Fabry Disease
C14.907.253.329.374,Fabry Disease
C16.320.322.124,Fabry Disease
C16.320.565.189.435.825.200,Fabry Disease
C16.320.565.398.641.803.300,Fabry Disease
C16.320.565.595.554.825.200,Fabry Disease
C18.452.132.100.435.825.200,Fabry Disease
C18.452.584.563.641.803.300,Fabry Disease
C18.452.648.189.435.825.200,Fabry Disease
C18.452.648.398.641.803.300,Fabry Disease
C18.452.648.595.554.825.200,Fabry Disease
C15.378.553.231.085,Angiolymphoid Hyperplasia with Eosinophilia
C15.604.515.292.007,Angiolymphoid Hyperplasia with Eosinophilia
C17.800.060,Angiolymphoid Hyperplasia with Eosinophilia
C14.907.077,Angiomatosis
C14.907.079,Angioedema
C17.800.862.945.066,Angioedema
C20.543.480.904.066,Angioedema
C22,Animal Diseases
C11.744.116,Aniseikonia
C05.550.069,Ankylosis
C07.650.800.100,Anodontia
C07.793.700.100,Anodontia
C16.131.850.800.100,Anodontia
C10.597.606.150.500.090,Anomia
C23.888.592.604.150.500.090,Anomia
C11.250.080,Anophthalmos
C16.131.384.159,Anophthalmos
C23.888.821.108,Anorexia
C10.597.751.600,Olfaction Disorders
C23.888.592.763.550,Olfaction Disorders
C12.050.351.500.056.630.050,Anovulation
C12.100.250.056.630.050,Anovulation
C19.391.630.050,Anovulation
C23.888.852.079,Hypoxia
C05.651.180.063,Anterior Compartment Syndrome
C14.907.303.063,Anterior Compartment Syndrome
C08.381.483.581.062.500,Anthracosilicosis
C08.381.483.581.760.125,Anthracosilicosis
C08.381.520.702.062.500,Anthracosilicosis
C08.381.520.702.760.125,Anthracosilicosis
C24.800.834.201,Anthracosilicosis
C01.150.252.410.090.072,Anthrax
C12.050.351.968.419.078,Anuria
C12.050.351.968.934.070,Anuria
C12.200.777.419.078,Anuria
C12.200.777.934.141,Anuria
C12.950.419.078,Anuria
C12.950.934.070,Anuria
C06.405.469.860.101,Anus Diseases
C04.588.274.476.411.307.790.040,Anus Neoplasms
C06.301.371.411.307.790.040,Anus Neoplasms
C06.405.249.411.307.790.040,Anus Neoplasms
C06.405.469.491.307.790.040,Anus Neoplasms
C06.405.469.860.101.163,Anus Neoplasms
C06.405.469.860.180.500.040,Anus Neoplasms
C06.198.050,"Anus, Imperforate"
C16.131.314.094,"Anus, Imperforate"
C14.907.055.239,Aortic Aneurysm
C14.907.109.139,Aortic Aneurysm
C14.907.109.239,Aortic Arch Syndromes
C14.240.400.090,Aortic Coarctation
C14.280.400.090,Aortic Coarctation
C16.131.240.400.090,Aortic Coarctation
C14.907.109,Aortic Diseases
C14.907.055.185.125,Aortic Rupture
C14.907.055.239.175,Aortic Rupture
C14.907.109.139.175,Aortic Rupture
C26.761.125,Aortic Rupture
C14.280.484.048.750.070,"Aortic Stenosis, Subvalvular"
C14.280.955.249.070,"Aortic Stenosis, Subvalvular"
C14.280.484.048.500,Aortic Valve Insufficiency
C14.280.484.048.625,Aortic Valve Prolapse
C14.280.484.400.100,Aortic Valve Prolapse
C14.280.484.048.750,Aortic Valve Stenosis
C14.280.955.249,Aortic Valve Stenosis
C14.907.109.320,Aortitis
C14.907.940.080,Aortitis
C14.240.400.560.098,Aortopulmonary Septal Defect
C14.280.400.560.098,Aortopulmonary Septal Defect
C16.131.240.400.560.098,Aortopulmonary Septal Defect
C11.510.103,Aphakia
C11.510.103.110,"Aphakia, Postcataract"
C10.597.606.150.500.800.100,Aphasia
C23.888.592.604.150.500.800.100,Aphasia
C10.597.606.150.500.800.100.100,"Aphasia, Broca"
C23.888.592.604.150.500.800.100.100,"Aphasia, Broca"
C10.597.606.150.500.800.100.166,"Aphasia, Wernicke"
C23.888.592.604.150.500.800.100.166,"Aphasia, Wernicke"
C08.360.940.160,Aphonia
C09.400.940.160,Aphonia
C10.597.975.100,Aphonia
C23.888.592.979.100,Aphonia
C08.618.085,Apnea
C23.888.852.130,Apnea
C04.588.274.476.411.184.290,Appendiceal Neoplasms
C06.301.371.411.184.290,Appendiceal Neoplasms
C06.405.249.411.184.290,Appendiceal Neoplasms
C06.405.469.110.417.290,Appendiceal Neoplasms
C06.405.469.491.184.290,Appendiceal Neoplasms
C01.463.099,Appendicitis
C06.405.205.099,Appendicitis
C06.405.469.110.207,Appendicitis
C10.597.606.881.350,Apraxias
C23.888.592.604.882.350,Apraxias
C04.557.465.625.650.135,Apudoma
C04.557.470.035.250,Apudoma
C04.557.580.625.650.135,Apudoma
C25.723.127.723,Spider Bites
C26.176.790,Spider Bites
C10.586.625.097,Arachnoiditis
C01.920.313,Arbovirus Infections
C01.925.081,Arbovirus Infections
C11.204.299.070,Arcus Senilis
C01.925.782.082,Arenaviridae Infections
C17.800.621.166,Argyria
C25.723.522.313,Argyria
C26.088,Arm Injuries
C10.500.680.291,Arnold-Chiari Malformation
C16.131.666.680.291,Arnold-Chiari Malformation
C14.280.067,"Arrhythmias, Cardiac"
C23.550.073,"Arrhythmias, Cardiac"
C14.280.067.093,"Arrhythmia, Sinus"
C23.550.073.093,"Arrhythmia, Sinus"
C14.907.137,Arterial Occlusive Diseases
C14.240.850.984.500,Arterio-Arterial Fistula
C14.907.933.110,Arterio-Arterial Fistula
C16.131.240.850.500,Arterio-Arterial Fistula
C23.300.575.950.150,Arterio-Arterial Fistula
C14.907.137.126,Arteriosclerosis
C14.907.137.126.114,Arteriosclerosis Obliterans
C14.240.850.750.147,Arteriovenous Fistula
C14.240.850.984.750,Arteriovenous Fistula
C14.907.150.125,Arteriovenous Fistula
C14.907.933.555,Arteriovenous Fistula
C16.131.240.850.750.125,Arteriovenous Fistula
C23.300.575.950.250,Arteriovenous Fistula
C14.240.850.750,Arteriovenous Malformations
C14.907.150,Arteriovenous Malformations
C16.131.240.850.750,Arteriovenous Malformations
C14.907.940.090,Arteritis
C05.550.114,Arthritis
C05.550.114.015,"Arthritis, Experimental"
C01.100,"Arthritis, Infectious"
C05.550.114.099,"Arthritis, Infectious"
C05.550.114.122,"Arthritis, Juvenile"
C05.799.056,"Arthritis, Juvenile"
C17.300.775.049,"Arthritis, Juvenile"
C20.111.198,"Arthritis, Juvenile"
C05.550.114.154,"Arthritis, Rheumatoid"
C05.799.114,"Arthritis, Rheumatoid"
C17.300.775.099,"Arthritis, Rheumatoid"
C20.111.199,"Arthritis, Rheumatoid"
C05.550.150,Arthrogryposis
C05.651.102,Arthrogryposis
C05.660.077,Arthrogryposis
C16.131.621.077,Arthrogryposis
C05.550.186,"Arthropathy, Neurogenic"
C20.543.520.175,Arthus Reaction
C10.597.606.150.500.800.150,Articulation Disorders
C23.888.592.604.150.500.800.150,Articulation Disorders
C08.381.483.581.125,Asbestosis
C08.381.520.702.125,Asbestosis
C24.800.127,Asbestosis
C01.610.335.508.700.100.070,Ascariasis
C01.610.335.508.700.100.080,Ascaridiasis
C23.550.081,Ascites
C18.654.521.500.133.115,Ascorbic Acid Deficiency
C01.150.703.080,Aspergillosis
C01.150.703.080.768.500,"Aspergillosis, Allergic Bronchopulmonary"
C01.150.703.534.850.500,"Aspergillosis, Allergic Bronchopulmonary"
C01.748.435.090,"Aspergillosis, Allergic Bronchopulmonary"
C08.381.472.850.500,"Aspergillosis, Allergic Bronchopulmonary"
C08.674.060,"Aspergillosis, Allergic Bronchopulmonary"
C08.730.435.090,"Aspergillosis, Allergic Bronchopulmonary"
C20.543.480.680.085,"Aspergillosis, Allergic Bronchopulmonary"
C23.550.260.095,Asphyxia
C26.103,Asphyxia
C16.614.092,Asphyxia Neonatorum
C23.888.089,Asthenia
C11.093,Asthenopia
C08.127.108,Asthma
C08.381.495.108,Asthma
C08.674.095,Asthma
C20.543.480.680.095,Asthma
C08.127.108.110,"Asthma, Exercise-Induced"
C08.674.095.110,"Asthma, Exercise-Induced"
C20.543.480.363.500,"Asthma, Exercise-Induced"
C20.543.480.680.095.110,"Asthma, Exercise-Induced"
C11.744.212,Astigmatism
C04.557.465.625.600.380.080,Astrocytoma
C04.557.470.670.380.080,Astrocytoma
C04.557.580.625.600.380.080,Astrocytoma
C10.597.350.090,Ataxia
C23.888.592.350.090,Ataxia
C10.228.140.252.190.530.060,Ataxia Telangiectasia
C10.562.100,Ataxia Telangiectasia
C10.597.350.090.500.530.060,Ataxia Telangiectasia
C14.907.823.213,Ataxia Telangiectasia
C16.320.080,Ataxia Telangiectasia
C16.320.798.250,Ataxia Telangiectasia
C18.452.284.060,Ataxia Telangiectasia
C20.673.795.250,Ataxia Telangiectasia
C08.381.730,Pulmonary Atelectasis
C10.597.350.110,Athetosis
C23.888.592.350.110,Athetosis
C26.115,Athletic Injuries
C14.280.067.198,Atrial Fibrillation
C23.550.073.198,Atrial Fibrillation
C14.280.067.248,Atrial Flutter
C23.550.073.248,Atrial Flutter
C23.300.070,Atrophy
C09.218.807.186,"Auditory Diseases, Central"
C10.228.140.068,"Auditory Diseases, Central"
C09.218.807.186.094,Auditory Perceptual Disorders
C10.228.140.068.094,Auditory Perceptual Disorders
C10.597.606.762.200,Auditory Perceptual Disorders
C23.888.592.604.764.200,Auditory Perceptual Disorders
C20.111,Autoimmune Diseases
C23.550.260.224.617.236,Autolysis
C10.177,Autonomic Nervous System Diseases
C01.925.782.815.096,Avian Leukosis
C01.925.928.120,Avian Leukosis
C04.557.337.372.216,Avian Leukosis
C04.619.531.216,Avian Leukosis
C15.378.508.372.216,Avian Leukosis
C22.131.094,Avian Leukosis
C01.925.782.815.800,"Sarcoma, Avian"
C01.925.928.800,"Sarcoma, Avian"
C04.557.450.795.830.800,"Sarcoma, Avian"
C04.619.857.800,"Sarcoma, Avian"
C22.131.800,"Sarcoma, Avian"
C18.654.521.500.133,Avitaminosis
C01.610.701.688.122,Babesiosis
C01.610.752.075,Babesiosis
C01.610.752.625.122,Babesiosis
C01.920.930.182,Babesiosis
C22.674.710.122,Babesiosis
C23.888.592.612.107,Back Pain
C01.150,Bacterial Infections and Mycoses
C01.150.252,Bacterial Infections
C01.915.219,Bacteriuria
C12.050.351.968.892.219,Bacteriuria
C12.200.777.892.219,Bacteriuria
C12.950.892.219,Bacteriuria
C01.150.252.400.110.109,Bacteroides Infections
C12.100.500.494.136,Balanitis
C12.200.294.494.136,Balanitis
C01.610.432.146,Balantidiasis
C01.610.752.200.146,Balantidiasis
C06.405.469.452.146,Balantidiasis
C12.050.351.968.419.570.643.150,Balkan Nephropathy
C12.200.777.419.570.643.150,Balkan Nephropathy
C12.950.419.570.643.150,Balkan Nephropathy
C26.120,Barotrauma
C04.834.154,Barrett Esophagus
C06.405.117.102,Barrett Esophagus
C01.150.252.400.126.100,Bartonella Infections
C01.150.252.400.126,Bartonellaceae Infections
C12.050.351.968.419.815.279,Bartter Syndrome
C12.200.777.419.815.279,Bartter Syndrome
C12.950.419.815.279,Bartter Syndrome
C19.053.800.604.249,Bartter Syndrome
C04.182.089.530.690.150,Basal Cell Nevus Syndrome
C04.557.470.200.165.150,Basal Cell Nevus Syndrome
C04.557.470.565.165.150,Basal Cell Nevus Syndrome
C04.700.175,Basal Cell Nevus Syndrome
C05.116.099.105,Basal Cell Nevus Syndrome
C05.500.470.690.150,Basal Cell Nevus Syndrome
C07.320.450.670.130,Basal Cell Nevus Syndrome
C16.131.077.130,Basal Cell Nevus Syndrome
C16.320.700.175,Basal Cell Nevus Syndrome
C10.228.140.079,Basal Ganglia Diseases
C16.131.077.133,Beckwith-Wiedemann Syndrome
C16.131.260.080,Beckwith-Wiedemann Syndrome
C16.320.180.080,Beckwith-Wiedemann Syndrome
C16.320.447.375,Beckwith-Wiedemann Syndrome
C07.465.075,Behcet Syndrome
C11.941.879.780.880.200,Behcet Syndrome
C14.907.940.100,Behcet Syndrome
C16.320.382.250,Behcet Syndrome
C17.800.827.368.250,Behcet Syndrome
C17.800.862.150,Behcet Syndrome
C18.654.521.500.133.699.827.223,Beriberi
C15.378.100.100.080,Bernard-Soulier Syndrome
C15.378.140.120,Bernard-Soulier Syndrome
C15.378.463.080,Bernard-Soulier Syndrome
C16.320.099.080,Bernard-Soulier Syndrome
C08.381.483.581.225,Berylliosis
