Symptom,Related terms
Hypothermia,"Disease Models, Animal;Lung Injury;Kidney Transplantation;Subarachnoid Hemorrhage;Pseudomonas aeruginosa;Laparoscopy;Urologic Surgical Procedures;Animals, Newborn;Polysaccharides, Bacterial;Hospitals, Teaching;Hypertension;Intensive Care Units, Neonatal;Transcription Factors;Hypothermia, Induced;Infant, Premature;Hospital Mortality;Shock, Septic;Lung;Body Temperature;Caffeine;Escherichia coli;Infant, Very Low Birth Weight;Postoperative Complications;Gestational Age;Glymphatic System;Quality Improvement;Hypoxia;Bacterial Infections;Cross-Over Studies;Spinal Cord Injuries;Oxygen Consumption;Hypotension;Pseudomonas Infections;Nausea;Hypothermia;Gene Editing;TRPA1 Cation Channel;Incubators, Infant;Microglia;Anemia;Neuroinflammatory Diseases;Delirium;Autophagy;Anesthesia, General;Intensive Care Units;Emergency Medical Services;Kidney Neoplasms;Brain Injuries;Nociception;Torpor;Drowning;Nanotubes;TRPV Cation Channels;Leukocytes, Mononuclear;Angiotensin I;Glucose;Heart Arrest;Thrombocytopenia;Astrocytes;Peptide Fragments;Enterocolitis, Necrotizing;Robotic Surgical Procedures;Escherichia coli Infections;Urinary Tract Infections;Out-of-Hospital Cardiac Arrest;Intraoperative Complications;Carcinoma, Renal Cell;Virus Diseases;Brain Injuries, Traumatic;Rewarming;Milk;Magnesium;Cardiopulmonary Resuscitation;Preoptic Area;Cattle Diseases;Brain;Avalanches;Dexmedetomidine;Neurons;Myocardial Infarction;RNA, Long Noncoding;Oxygen;Cell Membrane Structures;Near Drowning"
Body Weight,"Muscle Hypotonia;Mice, Inbred C57BL;Disease Models, Animal;Vaginosis, Bacterial;Waist Circumference;Immune Checkpoint Inhibitors;Receptors, Interleukin-6;Laparoscopy;Thinness;Osteoporosis;Food Handling;Oxytocin;Peripheral Arterial Disease;Ischemic Stroke;Glomerular Filtration Rate;Hypertension;Rumen;Animal Feed;Inflammation;Pregnancy in Diabetics;Anti-Bacterial Agents;Mesenchymal Stem Cells;Premature Birth;Shoulder Dystocia;Depression;Mice, Knockout;Weight Loss;Health Surveys;Rotator Cuff Injuries;Hippocampus;Pediatric Obesity;Catha;Braces;Insulin Resistance;Solanum lycopersicum;Fur Seals;Palm Oil;Nutrition Surveys;Inbreeding Depression;Scoliosis;Adipose Tissue;Diabetes Mellitus, Type 2;Epigenesis, Genetic;Anti-Obesity Agents;Homeostasis;Breast Neoplasms;Heterocyclic Compounds, 3-Ring;Anal Canal;Genotype;Anemia;Gestational Weight Gain;Awards and Prizes;Diabetes Mellitus;Overweight;Edema;Lipid Metabolism;Diet, High-Fat;Algorithms;Smoking;Cachexia;Lung Neoplasms;Administration, Intranasal;Renal Insufficiency, Chronic;Walking;Cesarean Section;Adipose Tissue, White;Diet;Sleep;Obesity, Abdominal;Interferon Regulatory Factor-3;Spheroids, Cellular;Obesity;Dyspnea;Glucagon-Like Peptide 1;Alanine Transaminase;Arthroscopy;Pyridones;Glycated Hemoglobin;Cardiovascular Diseases;Life Style;Piperazines;Esophageal Neoplasms;Body Mass Index;Walk Test;Cell Differentiation;Robotic Surgical Procedures;Drug Costs;3T3-L1 Cells;Stomach Neoplasms;Carcinoma, Non-Small-Cell Lung;Non-alcoholic Fatty Liver Disease;Arthritis, Experimental;Gastrointestinal Microbiome;Pregnancy Complications;Oxazines;Tryptophan;Sleep Wake Disorders;Interleukin-6;Coronary Artery Disease;Mitochondria;Weight Gain;Lipids;Medicare;Infertility, Female;Adipocytes;Neurons;Extracellular Matrix;HIV Infections;Machine Learning"
Birth Weight,"Milk, Human;Geographic Information Systems;Water Pollutants, Chemical;Randomized Controlled Trials as Topic;Fetal Macrosomia;Air Pollutants;Biomarkers;Prenatal Care;Placenta;Body Height;Postpartum Hemorrhage;Drinking Water;Prenatal Exposure Delayed Effects;Intensive Care Units, Neonatal;Inflammation;Animal Feed;Pregnancy in Diabetics;Rheumatic Diseases;Chorion;Haplotypes;Premature Birth;Shoulder Dystocia;Infant, Premature;Spatial Analysis;Pregnancy Outcome;Body Composition;Exercise;Diabetes Mellitus, Type 1;Bayes Theorem;Child Development;Pediatric Obesity;Carnitine;Anxiety;Infant, Small for Gestational Age;Breeding;Pregnancy Trimester, First;Models, Genetic;Infant, Very Low Birth Weight;Maternal Nutritional Physiological Phenomena;Stress, Psychological;Fur Seals;Vitrification;Gonadotropin-Releasing Hormone;Alkanesulfonic Acids;Inbreeding Depression;Gestational Age;Congenital Abnormalities;Breast Feeding;Diabetes Mellitus, Type 2;Embryo Transfer;Particulate Matter;Magnetic Resonance Imaging;Asthma;Fetal Growth Retardation;Gestational Weight Gain;Reproductive Techniques, Assisted;Maternal Exposure;Pregnancy, Triplet;Fetal Development;Overweight;Seasons;Nomograms;Tobacco Smoke Pollution;Goats;Cesarean Section;Elective Surgical Procedures;Air Pollution;Diet;Intelligence;Fluorocarbons;Obesity;Caprylates;Chromosomes, Human, Y;Oligosaccharides;Acute Kidney Injury;Infant, Low Birth Weight;Body Mass Index;Arginine;Birth Weight;Fluoridation;Uterine Rupture;Glucose Tolerance Test;Dietary Supplements;Blood Glucose;Registries;Fluorides;Hydrocortisone;Fetal Blood;Methylenetetrahydrofolate Reductase (NADPH2);Diabetes, Gestational;Polymorphism, Single Nucleotide;Weight Gain;Hair;Ovulation Induction;Cryopreservation;Dietary Proteins;Ultrasonography, Prenatal;Machine Learning"
Fetal Macrosomia,"Fetal Diseases;Child Development;Obesity, Maternal;Geographic Information Systems;Birth Weight;Nomograms;Infant, Small for Gestational Age;Obesity, Morbid;Insulin Resistance;Pregnancy Trimester, First;Tenericutes;Cesarean Section;Fetal Macrosomia;Air Pollutants;Air Pollution;Polyhydramnios;Prenatal Care;Uterine Rupture;Glucose Tolerance Test;Pregnancy Complications;Placenta;Hyperglycemia;Infant, Newborn, Diseases;Body Height;Sulfur Dioxide;Postpartum Hemorrhage;Abnormalities, Multiple;Obesity;Blood Glucose;Intestinal Pseudo-Obstruction;Pre-Eclampsia;Hypertension;Fetal Weight;Menopause, Premature;Diabetes Mellitus, Type 2;Nitrogen Dioxide;Pregnancy in Diabetics;Embryo Transfer;Premature Birth;Primary Ovarian Insufficiency;Diabetes, Gestational;Shoulder Dystocia;Polymorphism, Single Nucleotide;Spatial Analysis;Hypertension, Pregnancy-Induced;Respiratory Distress Syndrome;Embryo Culture Techniques;Dystocia;Blood Glucose Self-Monitoring;Infant, Low Birth Weight;RNA-Seq;Particulate Matter;Magnetic Resonance Imaging;Anemia;Ultrasonography, Prenatal;Pregnancy Outcome;Cryopreservation;Gestational Weight Gain;Hypoglycemia;Hypothyroidism;Exercise;Overweight;Diabetes Mellitus, Type 1"
Body Weight Changes,"Muscle Hypotonia;Obesity, Morbid;Randomized Controlled Trials as Topic;Photoperiod;Receptors, Interleukin-6;Laparoscopy;Fetal Macrosomia;Prenatal Care;Athletes;Glucagon-Like Peptide-1 Receptor;Weight Reduction Programs;Thinness;Oxytocin;Rumen;Animal Feed;Propionates;Liraglutide;Fasting;Premature Birth;Muscle Strength;Depression;Caloric Restriction;Weight Loss;Pregnancy Outcome;Feasibility Studies;Body Composition;Exercise;Absorptiometry, Photon;Insulin Resistance;Sarcopenia;Boxing;Postoperative Complications;Digestive System Neoplasms;Diabetes Mellitus, Type 2;Serotonin;Heterocyclic Compounds, 3-Ring;Quality of Life;Immunotherapy;Vitamin D;Chickens;Gestational Weight Gain;Food Quality;Overweight;Edema;Feces;Mental Disorders;Thermotolerance;Cachexia;Administration, Intranasal;Renal Insufficiency, Chronic;Thrombocythemia, Essential;Walking;Adipose Tissue, White;Gastrectomy;Diet;Fatty Acid Elongases;Cost-Benefit Analysis;Obesity;Dyspnea;Diet, Protein-Restricted;Gastric Bypass;Fundoplication;Glucagon-Like Peptides;Alanine Transaminase;Heart Failure;Stroke Volume;Meat;Pyridones;Glycated Hemoglobin;Life Style;Whey Proteins;Esophageal Neoplasms;Piperazines;Malnutrition;Body Mass Index;HIV Integrase Inhibitors;Fatty Liver;3T3-L1 Cells;Birth Weight;Stomach Neoplasms;Prediabetic State;Non-alcoholic Fatty Liver Disease;Extracellular Vesicles;Primary Health Care;Nutritional Status;Hot Temperature;Gastrointestinal Microbiome;Glucose Tolerance Test;Antipsychotic Agents;Amino Acids, Branched-Chain;Pregnancy Complications;Gastroesophageal Reflux;Oxazines;Dietary Supplements;Telemedicine;Interleukin-6;Models, Animal;Neoplasms;Metabolomics;Diabetes, Gestational;Weight Gain;Neurons;Bariatric Surgery;HIV Infections"
Body-Weight Trajectory,"Somatotypes;Milk, Human;Pediatric Obesity;Selenium;Infant Nutritional Physiological Phenomena;Obesity, Morbid;DNA Methylation;Insulin Resistance;Feeding Behavior;Gastrointestinal Neoplasms;Coronary Disease;Neonatal Abstinence Syndrome;Laparoscopy;Air Pollutants;Hyperthyroidism;Air Pollution;Pregnancy, Twin;Opioid-Related Disorders;Weight Reduction Programs;Kidney Neoplasms;Sarcopenia;Pregnancy Complications;Bottle Feeding;Carcinoma, Renal Cell;Bronchopulmonary Dysplasia;Mothers;Mercury;Prenatal Exposure Delayed Effects;Hernia, Ventral;Gastric Bypass;Breast Feeding;Hypertension;Diabetes Mellitus, Type 2;Anti-Obesity Agents;Anorexia Nervosa;Premature Birth;Infant Formula;Substance Withdrawal Syndrome;Wasting Syndrome;Diabetes, Gestational;Developing Countries;Breast Neoplasms;Body-Weight Trajectory;Cardiovascular Diseases;Weight Loss;Probiotics;Lung;Bariatric Surgery;Socialization;Gestational Weight Gain;Pancreatic Neoplasms;Overweight;Diabetes Mellitus, Type 1"
Weight Gain,"Muscle Hypotonia;Mice, Inbred C57BL;Milk, Human;Obesity, Morbid;Randomized Controlled Trials as Topic;Photoperiod;Body Weight;Fetal Macrosomia;Prenatal Care;Glucagon-Like Peptide-1 Receptor;Thinness;Pituitary Neoplasms;Prenatal Exposure Delayed Effects;Intensive Care Units, Neonatal;Rumen;Animal Feed;Premature Birth;Infant Formula;Infant, Premature;Menopause;Kangaroo-Mother Care Method;COVID-19;Bifidobacterium breve;Weight Loss;Midwifery;Pregnancy Outcome;Body Composition;Exercise;Diabetes Mellitus, Type 1;Child Development;Emollients;Maternal Nutritional Physiological Phenomena;Infant, Very Low Birth Weight;Weaning;Glucose Metabolism Disorders;Breast Feeding;Anti-Obesity Agents;Glycerol Kinase;Heterocyclic Compounds, 3-Ring;Cholesterol, HDL;Chickens;Fetal Growth Retardation;Gestational Weight Gain;Food Quality;Overweight;Hypoglycemic Agents;Edema;Feces;Mental Disorders;Catfishes;Diet, High-Fat;Thermotolerance;Infant Nutritional Physiological Phenomena;Diet;Cost-Benefit Analysis;Obesity;Cysteine;Dyspnea;Gastric Bypass;Craniopharyngioma;Meat;Pyridones;Glycated Hemoglobin;Life Style;Piperazines;Infant, Low Birth Weight;Malnutrition;Body Mass Index;HIV Integrase Inhibitors;Qualitative Research;Triglycerides;Birth Weight;Animal Nutritional Physiological Phenomena;Insulin;Hyperlipidemias;Nutritional Status;Hot Temperature;Antipsychotic Agents;Pregnancy Complications;Gastroesophageal Reflux;Oxazines;Dietary Supplements;Telemedicine;Models, Animal;Fetal Blood;Smoking Cessation;Diabetes, Gestational;Weight Gain;Probiotics;Calcium-Binding Proteins;Bariatric Surgery;HIV Infections;Dietary Proteins"
Gestational Weight Gain,"Child Development;Military Personnel;Birth Weight;Depression, Postpartum;Waist Circumference;Obesity, Morbid;Randomized Controlled Trials as Topic;Feeding Behavior;Fetal Macrosomia;Prenatal Care;Nutritional Status;Heart Defects, Congenital;Diet;Obesity, Abdominal;Thinness;Pregnancy Complications;Postpartum Period;Dietary Supplements;Cost-Benefit Analysis;Obesity;Prenatal Exposure Delayed Effects;Pre-Eclampsia;Telemedicine;Dipeptidyl Peptidase 4;Diabetes Mellitus, Type 2;Fetal Blood;Premature Birth;Diabetes, Gestational;Weight Gain;Glycated Hemoglobin;Morning Sickness;Glucose Intolerance;COVID-19;Cardiovascular Diseases;Metabolome;Midwifery;Fetal Growth Retardation;Body Mass Index;Pregnancy Outcome;Calcium-Binding Proteins;Bariatric Surgery;Gestational Weight Gain;Anemia;Feeding and Eating Disorders;Qualitative Research;Dietary Proteins;Exercise;Overweight"
Weight Cycling,"Islets of Langerhans;Military Personnel;Obesity, Morbid;Non-alcoholic Fatty Liver Disease;Insulin Resistance;Muscles;Gastrointestinal Microbiome;Sleep Apnea Syndromes;Pregnancy Complications;Liver;Obesity;Registries;Diabetes Mellitus, Type 2;Diet, Reducing;Heart Failure;Microbiota;Sleep Initiation and Maintenance Disorders;Body-Weight Trajectory;Overweight;Cardiovascular Diseases;Weight Loss;Colorectal Neoplasms;Weight Cycling;Sports;Psychological Distress;Adenocarcinoma;Osteoarthritis, Knee;Exercise;Diabetes Mellitus;Hyperinsulinism;Pancreatic Neoplasms"
Weight Loss,"Obesity, Morbid;Randomized Controlled Trials as Topic;Atrial Fibrillation;Receptors, Interleukin-6;Laparoscopy;Biomarkers;Athletes;Glucagon-Like Peptide-1 Receptor;Weight Reduction Programs;Liver;Oxytocin;Health Behavior;Propionates;Liraglutide;Fasting;Focus Groups;Muscle Strength;Depression;COVID-19;Caloric Restriction;Lactic Acid;Weight Loss;Feasibility Studies;Body Composition;Exercise;HMGB1 Protein;Absorptiometry, Photon;MicroRNAs;Appetite;Insulin Resistance;Fruit and Vegetable Juices;Salvia;Diet, Western;Sarcopenia;Boxing;Postoperative Complications;Digestive System Neoplasms;Receptors, G-Protein-Coupled;Citrus sinensis;Diabetes Mellitus, Type 2;Anti-Obesity Agents;Muscle Proteins;Serotonin;Quality of Life;Immunotherapy;Vitamin D;Overweight;Cholecalciferol;Feces;Cachexia;Administration, Intranasal;Muscular Atrophy;Renal Insufficiency, Chronic;Thrombocythemia, Essential;Walking;Adipose Tissue, White;Gastrectomy;Fatty Acid Elongases;Cost-Benefit Analysis;Obesity;Catheter Ablation;Diet, Protein-Restricted;Gastric Bypass;Fundoplication;Glucagon-Like Peptides;Alanine Transaminase;Heart Failure;Stroke Volume;Seeds;Cardiometabolic Risk Factors;Life Style;Whey Proteins;Esophageal Neoplasms;Cyclopentane Monoterpenes;Malnutrition;Muscle Fibers, Skeletal;Body Mass Index;Fatty Liver;Blood Pressure;Tumor Necrosis Factor-alpha;3T3-L1 Cells;Stomach Neoplasms;Prediabetic State;Non-alcoholic Fatty Liver Disease;Apoptosis;Extracellular Vesicles;Primary Health Care;Berberine;Nutritional Status;Gastrointestinal Microbiome;Glucose Tolerance Test;Amino Acids, Branched-Chain;Gastroesophageal Reflux;Foeniculum;Dietary Supplements;Prebiotics;Interleukin-6;Neoplasms;Smoking Cessation;Metabolomics;Weight Gain;Lipids;Gastroparesis;Catechols;Probiotics;Neurons;Bariatric Surgery"
