Symptom,Disease
confusion,type 1 diabetes mellitus;type 2 diabetes mellitus;overnutrition;coronary artery vasospasm;diabetes mellitus;bipolar I disorder;bipolar disorder;listeriosis;aphasia;bipolar ll disorder;coronary artery disease;hypertension
crinkle,
darkening of skin,adermatoglyphia;pigmentation disease;hyperpigmentation of eyelid;rumination disorder
deafness,retinitis pigmentosa 26;Char syndrome;retinitis pigmentosa 14;retinitis pigmentosa 68;retinitis pigmentosa 58;retinitis pigmentosa 61;Wolfram syndrome 2;retinitis pigmentosa 73;neurofibromatosis 1;retinitis pigmentosa 28;retinitis pigmentosa 6;Fraser syndrome;retinitis pigmentosa 87;neurofibromatosis;retinitis pigmentosa 49;retinitis pigmentosa 9;retinitis pigmentosa 27;retinitis pigmentosa 38;retinitis pigmentosa Y-linked;retinitis pigmentosa 19;retinitis pigmentosa 44;retinitis pigmentosa 77;retinitis pigmentosa 2;retinitis pigmentosa 11;branchiootorenal syndrome 1;Usher syndrome type 1;Wolfram syndrome;retinitis pigmentosa 47;spinal neurofibromatosis;Behr syndrome;Usher syndrome type 3;retinitis pigmentosa 89;retinitis pigmentosa 69;retinitis pigmentosa 17;retinitis pigmentosa 74;retinitis pigmentosa 10;retinitis pigmentosa 42;retinitis pigmentosa 54;retinitis pigmentosa 75;placental insufficiency;retinitis pigmentosa 63;retinitis pigmentosa 37;retinitis pigmentosa 85;retinitis pigmentosa 56;retinitis pigmentosa 4;retinitis pigmentosa 72;retinitis pigmentosa 83;retinitis pigmentosa 55;retinitis pigmentosa 43;retinitis;retinitis pigmentosa 51;retinitis pigmentosa;retinitis pigmentosa 71;retinitis pigmentosa 39;retinitis pigmentosa 31;retinitis pigmentosa 36;retinitis pigmentosa 32;Holt-Oram syndrome;meningitis;retinitis pigmentosa 13;tendinitis;retinitis pigmentosa 18;retinitis pigmentosa 40;retinitis pigmentosa 46;retinitis pigmentosa 84;retinitis pigmentosa 30;Usher syndrome;retinitis pigmentosa 25;retinitis pigmentosa 34;Wolfram syndrome 1;Worth syndrome;retinitis pigmentosa 12;retinitis pigmentosa 41;retinitis pigmentosa 60;retinitis pigmentosa 67;retinitis pigmentosa 59;retinitis pigmentosa 1;retinitis pigmentosa 48;retinitis pigmentosa 50;brain compression;retinitis pigmentosa 24;retinitis pigmentosa 81;retinitis pigmentosa 90;retinitis pigmentosa 33;retinitis pigmentosa 22;retinitis pigmentosa 57;retinitis pigmentosa 35;venous insufficiency;retinitis pigmentosa 23;retinitis pigmentosa 29;retinitis pigmentosa 86;retinitis pigmentosa 45;retinitis pigmentosa 3;pseudoretinitis pigmentosa;branchiootorenal syndrome 2;retinitis pigmentosa 88;retinitis pigmentosa 62;retinitis pigmentosa 70;retinitis pigmentosa 66;retinitis pigmentosa 20;branchiootorenal syndrome;Usher syndrome type 2;retinitis pigmentosa 7
dehydration,ileocolitis;dysentery;iritis;pneumonia;alexia;kidney disease;urinary tract infection;Hirschsprung's disease
delirium,Parkinson's disease 14;Parkinson's disease 6;overnutrition;bipolar disorder;secondary Parkinson disease;Parkinson's disease;Parkinson's disease 20;Parkinson's disease 3;Parkinson's disease 21;Parkinson's disease 7;Parkinson's disease 15;type 1 diabetes mellitus;prion disease;coronary artery vasospasm;diabetes mellitus;Parkinson's disease 4;Parkinson's disease 17;hypertension;Danon disease;Parkinson's disease 2;type 2 diabetes mellitus;bipolar I disorder;Parkinsonism;listeriosis;bipolar ll disorder;coronary artery disease;Parkinson's disease 8;Parkinson's disease 19A;Parkinson's disease 1;Parkinson's disease 25;Parkinson's disease 23;Parkinson's disease 22
depression,stomatitis;COVID-19;diabetes mellitus;postural orthostatic tachycardia syndrome;borna disease;dementia;Parkinsonism;hypertension;coronary artery disease;renal hypertension;mastitis;depressive disorder
disorientation,type 1 diabetes mellitus;type 2 diabetes mellitus;overnutrition;coronary artery vasospasm;diabetes mellitus;bipolar I disorder;bipolar disorder;listeriosis;aphasia;bipolar ll disorder;coronary artery disease;hypertension
drowsiness,narcolepsy;degenerative disc disease;synpolydactyly;pulmonary artery disease;intracranial hypertension;cardiovascular system disease;syndactyly;renal artery disease;immune system disease;acquired immunodeficiency syndrome;cerebrovascular disease;hepatic vascular disease;vascular disease;eye degenerative disease;coronary artery disease;gastrointestinal carcinoma;epilepsy;neurodegenerative disease;dry eye syndrome;COVID-19;polydactyly;intracranial hypotension
dry cough,cerebellar ataxia type 47;tracheal stenosis;acute myocardial infarction;dermatomyositis;Bjornstad syndrome;Conn's syndrome;fucosidosis;pulmonary talcosis;granulomatous angiitis;adult dermatomyositis;nasopharyngitis;myositis;spinocerebellar ataxia 45;Horner's syndrome;angioedema;diffuse pulmonary fibrosis;gastroesophageal cancer;central nervous system sarcoma;myocardial infarction;respiratory system cancer;central nervous system lipoma;apical myocardial infarction;testicular disease;pulmonary embolism;coccidiosis;polymyositis;pulmonary sarcoidosis;peripheral nervous system disease;hypertension;spinocerebellar ataxia 46;lateral myocardial infarction;silent myocardial infarction;sarcoidosis;cholangitis;amyloidosis;cerebellar ataxia type 41;granulomatosis with polyangiitis;Sjogren-Larsson syndrome;renal hypertension;inferior myocardial infarction;pharyngitis;dermatomycosis;skin sarcoidosis;dermatitis;vestibular disease;kidney disease;cerebellar ataxia type 42;Sjogren's syndrome;dermatophytosis;asthma;cerebellar ataxia type 9;central nervous system disease;peripheral nervous system neoplasm;COVID-19;spinocerebellar ataxia 44;autoimmune disease;pulmonary fibrosis;idiopathic pulmonary fibrosis;gastroesophageal reflux disease;posterior myocardial infarction;respiratory system disease;pyomyositis;laryngitis;nervous system disease;hypereosinophilic syndrome;neurosarcoidosis;pulmonary tuberculosis;pulmonary hemosiderosis;peripheral nervous system benign neoplasm;cerebellar ataxia type 43;septal myocardial infarction;cerebellar ataxia;cerebellar ataxia type 48
paralysis,congenital adrenal insufficiency;adrenoleukodystrophy;muscular atrophy;brain infarction;Horner's syndrome;prion disease;Parkinson's disease 2;eye disease;Alzheimer's disease 1;Alzheimer's disease 7;muscular dystrophy;ophthalmoplegia;quadriplegia;Sjogren's syndrome;Parkinson's disease 19A;gastroparesis;tic disorder;Alzheimer's disease 17;Parkinson's disease 25;leukodystrophy;Parkinson's disease 23;hypoglossal nerve disease;Alzheimer's disease 4;Parkinson's disease 20;Parkinson's disease 21;phobic disorder;blepharitis;mitochondrial encephalomyopathy;Alzheimer's disease 15;Alzheimer's disease 16;Alzheimer's disease;Alzheimer's disease 2;corneal disease;Parkinsonism;placental insufficiency;nasopharyngeal disease;Alzheimer's disease 12;botulism;Parkinson's disease 1;blepharophimosis;multiple system atrophy;cerebral degeneration;liver disease;Alzheimer's disease 6;Alzheimer's disease 5;Bell's palsy;Alzheimer's disease 9;Parkinson's disease 14;secondary Parkinson disease;hypokalemic periodic paralysis;Alzheimer's disease 18;Parkinson's disease 7;Alzheimer's disease 3;brain stem infarction;Parkinson's disease 4;Parkinson's disease 17;uremia;diaphragmatic eventration;myeloid neoplasm;laryngeal disease;Alzheimer's disease 13;Sjogren-Larsson syndrome;facial paralysis;mitochondrial myopathy;Parkinson's disease 22;myasthenia gravis;Parkinson's disease 6;Alzheimer's disease 10;Bjornstad syndrome;Conn's syndrome;renal osteodystrophy;hemiplegia;Parkinson's disease;myoclonic cerebellar dyssynergia;Parkinson's disease 3;paraplegia;Parkinson's disease 15;optic nerve disease;locked-in syndrome;hyperkalemic periodic paralysis;Alzheimer's disease 11;venous insufficiency;Danon disease;brain disease;hypokalemia;Parkinson's disease 8;Alzheimer's disease 19;Alzheimer's disease 14;Guillain-Barre syndrome;Alzheimer's disease 8
flaccidity,retinitis pigmentosa 26;laryngomalacia;retinitis pigmentosa 14;muscular atrophy;retinitis pigmentosa 68;conjunctival degeneration;retinitis pigmentosa 61;spinal cord disease;glycogen storage disease IXa;myopia;prion disease;primary ovarian insufficiency 1;testicular disease;primary ovarian insufficiency 12;retinitis pigmentosa 73;panhypopituitarism;cardiomyopathy;retinitis pigmentosa 28;retinitis pigmentosa 6;primary ovarian insufficiency 17;uveal disease;neuromuscular disease;primary ovarian insufficiency 19;Parkinson's disease 2;Cowden syndrome 4;vascular disease;primary ovarian insufficiency 14;primary ovarian insufficiency 11;muscular dystrophy;spinal disease;hypothyroidism;hypotrichosis;Laron syndrome;retinitis pigmentosa 87;retinitis pigmentosa 49;primary ovarian insufficiency 16;autistic disorder;retinitis pigmentosa 9;primary ovarian insufficiency 4;Parkinson's disease 19A;nephrocalcinosis;hypoparathyroidism;tic disorder;retinitis pigmentosa 38;retinitis pigmentosa 27;urethral disease;primary ovarian insufficiency 3;retinitis pigmentosa Y-linked;Parkinson's disease 25;peroxisomal disease;Cri-Du-Chat syndrome;glycogen storage disease IXd;retinitis pigmentosa 44;retinitis pigmentosa 19;retinitis pigmentosa 77;retinitis pigmentosa 2;retinitis pigmentosa 11;Parkinson's disease 23;retinal degeneration;retinitis pigmentosa 7;Prader-Willi syndrome;spinal muscular atrophy;hyperparathyroidism;corneal degeneration;hyperthyroidism;ureterolithiasis;retinitis pigmentosa 47;Parkinson's disease 20;syndromic intellectual disability;Cohen syndrome;Parkinson's disease 21;retinitis pigmentosa 89;retinitis pigmentosa 69;Cogan syndrome;retinitis pigmentosa 17;glycogen storage disease Ia;retinitis pigmentosa 74;ureteral disease;primary ovarian insufficiency 15;microlissencephaly;glycogen storage disease;retinitis pigmentosa 10;glycogen storage disease VII;mood disorder;hypertrichosis;glycogen storage disease IXb;retinitis pigmentosa 42;Jacobsen Syndrome;hypopituitarism;retinitis pigmentosa 54;Parkinsonism;retinitis pigmentosa 75;primary ovarian insufficiency 7;polyhydramnios;Cowden syndrome 5;retinitis pigmentosa 37;retinitis pigmentosa 63;Down syndrome;retinitis pigmentosa 85;glycogen storage disease I;retinitis pigmentosa 56;Parkinson's disease 1;cerebral degeneration;retinitis pigmentosa 4;retinitis pigmentosa 72;retinitis pigmentosa 83;retinitis pigmentosa 55;retinitis pigmentosa 43;obesity;Donohue syndrome;Nelson syndrome;retinitis pigmentosa 51;REM sleep behavior disorder;retinitis pigmentosa;Parkinson's disease 14;retinitis pigmentosa 71;retinitis pigmentosa 39;retinitis pigmentosa 31;retinitis pigmentosa 36;retinitis pigmentosa 32;retinal disease;glycogen storage disease VIII;secondary Parkinson disease;cleft palate;retinitis pigmentosa 13;ehrlichiosis;primary ovarian insufficiency;Parkinson's disease 7;Cowden syndrome 6;retinitis pigmentosa 18;retinitis pigmentosa 40;oligohydramnios;retinitis pigmentosa 46;distal arthrogryposis;primary ovarian insufficiency 9;primary ovarian insufficiency 18;Parkinson's disease 4;Miyoshi muscular dystrophy;retinitis pigmentosa 84;Parkinson's disease 17;hypercalcemia;glycogen storage disease IV;Noonan syndrome;hyperglycemia;retinitis pigmentosa 30;retinitis pigmentosa 25;retinitis pigmentosa 34;specific developmental disorder;hyperpituitarism;Poland syndrome;primary ovarian insufficiency 13;retinal lattice degeneration;retinitis pigmentosa 12;retinitis pigmentosa 41;retinitis pigmentosa 60;primary ovarian insufficiency 6;retinitis pigmentosa 67;retinitis pigmentosa 59;chondrocalcinosis;primary ovarian insufficiency 2A;primary ovarian insufficiency 5;retinitis pigmentosa 1;glycogen storage disease IX;striatonigral degeneration;glycogen storage disease VI;calcinosis;Cowden syndrome 7;glycogen storage disease V;glycogen storage disease IXc;Parkinson's disease 22;thyrotoxicosis;retinitis pigmentosa 48;rectal disease;Parkinson's disease 6;retinitis pigmentosa 50;primary ovarian insufficiency 10;cecal disease;Conn's syndrome;retinitis pigmentosa 24;urolithiasis;Parkinson's disease;retinitis pigmentosa 81;retinitis pigmentosa 90;retinal perforation;primary ovarian insufficiency 2B;autism spectrum disorder;Parkinson's disease 3;muscular disease;homocystinuria;retinitis pigmentosa 33;primary ovarian insufficiency 8;clubfoot;pinta disease;glycogen storage disease III;glycogen storage disease XV;Parkinson's disease 15;retinitis pigmentosa 22;retinitis pigmentosa 57;cystinuria;glycogen storage disease Ib;retinitis pigmentosa 35;retinitis pigmentosa 23;Dubowitz syndrome;Danon disease;retinitis pigmentosa 29;pervasive developmental disorder;brain disease;retinitis pigmentosa 86;retinitis pigmentosa 45;microcephaly;retinitis pigmentosa 3;pseudoretinitis pigmentosa;Cowden syndrome;Muenke Syndrome;glycogen storage disease Ic;Watson syndrome;writing disorder;nephrolithiasis;Parkinson's disease 8;retinitis pigmentosa 88;epilepsy;retinitis pigmentosa 62;rumination disorder;retinitis pigmentosa 70;retinitis pigmentosa 66;retinitis pigmentosa 20;Zellweger syndrome;glycogen storage disease II;intellectual disability;retinitis pigmentosa 58
flat keratotic capsule,
