Symptom,Related terms
lymphangitis,"Lymphangitis;beta-Defensins;Cattle Diseases;Corynebacterium Infections;Melanoma;Carcinoma, Squamous Cell;Lymphangitis;Lymphangitis;Lung Neoplasms;Carcinoma, Squamous Cell;Respiratory Insufficiency;Lymphangitis;Histoplasmosis;Horse Diseases;Stomach Neoplasms;Lymphangitis;Peritoneal Neoplasms;Lung Neoplasms;Carcinoma;Plants, Medicinal;Lymphangitis;Histoplasmosis;Horse Diseases;Lymphangitis;Horse Diseases;Histoplasmosis;Lymphangitis;Horse Diseases;Sheep Diseases;Tinea Pedis;Lymphangitis;Lung Neoplasms;Lymphangitis;Stomach Neoplasms;Carcinoma;Insect Bites and Stings;Lymphangitis;Nocardia;Skin Abnormalities;Soft Tissue Injuries;Lymphangitis;Dog Diseases;Lymphangitis;Horse Diseases;Histoplasmosis;Lymphangitis;Carcinoma;Pleural Effusion;Lung Neoplasms;Lymphangitis;Carcinoma;Adenocarcinoma;Adenocarcinoma of Lung;Lung Neoplasms;Lymphangitis;Methicillin-Resistant Staphylococcus aureus;Mycobacterium marinum;Lymphangitis;Penile Diseases;Lymphangitis;Nocardia;Nocardia Infections;Protein-Losing Enteropathies;Lymphangitis;Dog Diseases;Lymphangitis;Insect Bites and Stings;Anti-Infective Agents;Arthropods;Lymphangitis;Herpes Simplex;Lymphangitis;Nocardia Infections;Nocardia;Lymphangitis;Mpox (monkeypox);Lymphangitis;Carcinoma;Lung Neoplasms;Peritoneal Neoplasms;Carcinoma;Lung Neoplasms;Lymphangitis;Breast Neoplasms;Breast Cancer Lymphedema;Lymphangitis;Lymphedema;Lymphangitis;Lymphatic Vessels;Lymphedema;Neoplasms;Lymphangitis;Lymphatic Vessels;Lymphedema;Neoplasms;Carcinoma;Lung Neoplasms;Lymphangitis;Pulmonary Embolism;Lymphangitis;Rickettsia;Rickettsia Infections;Carcinoma;Fasciitis;Lymphangitis;Peritoneal Neoplasms;Soft Tissue Neoplasms;Thyroid Neoplasms;Lymphangitis;Dog Diseases;Enteritis;Lymphangiectasis, Intestinal;Lymphangitis;Lymphangitis;Carcinoma;Lung Neoplasms;Lymphangitis;Sarcoma;Carcinoma;Lymphangitis;Lymphatic Metastasis;Neck;Histoplasmosis;Horse Diseases;Lymphangitis;Lymphangitis;Pleural Diseases;Pleural Effusion;Pleural Effusion, Malignant;Pleural Neoplasms;Carcinoma;Lymphangitis;Bites and Stings;Lymphangitis;Lymphangitis;Rickettsia;Rickettsia Infections;Breast Implants;Holidays;Mites;Drug Hypersensitivity;Lymphangitis;Pharmaceutical Preparations"

lymphopenia,"COVID-19;Lymphopenia;Hospitalization;SARS-CoV-2;COVID-19;Immunoglobulin M;Autoantibodies;Complement Activation;SARS-CoV-2;Lymphopenia;Immunophenotyping;Inositol 1,4,5-Trisphosphate Receptors;Wiskott-Aldrich Syndrome;Lymphopenia;Kidney Transplantation;Lymphopenia;COVID-19;Pulmonary Aspergillosis;Respiratory Distress Syndrome;Hematologic Neoplasms;Lymphopenia;Respiratory Insufficiency;Pulmonary Disease, Chronic Obstructive;Lymphopenia;Severe Combined Immunodeficiency;Janus Kinase Inhibitors;Candidiasis, Chronic Mucocutaneous;Lymphopenia;Thrombocytopenia;Nitriles;Pyrazoles;Pyrimidines;COVID-19;Cardiovascular Diseases;Diabetes Mellitus;Lymphopenia;COVID-19;Lymphopenia;Survivin;COVID-19;Apoptosis;Lymphopenia;SARS-CoV-2;Anemia, Hemolytic, Autoimmune;Agammaglobulinemia;Thrombocytopenia;Lymphopenia;Neuroblastoma;Thiazoles;Thiophenes;Prostatic Neoplasms;Lymphopenia;Bone Marrow;COVID-19;Down Syndrome;Lymphopenia;Glioblastoma;Brain Neoplasms;Lymphopenia;Brain;Leukocytes;Lupus Erythematosus, Systemic;Lymphopenia;T-Lymphocytopenia, Idiopathic CD4-Positive;Esophageal Squamous Cell Carcinoma;Esophageal Neoplasms;Carcinoma, Squamous Cell;Thrombocytopenia;Lymphopenia;Antibodies, Monoclonal, Humanized;Lymphopenia;Severe Combined Immunodeficiency;Lymphopenia;Cytomegalovirus Infections;Multiple Sclerosis;Lymphopenia;Pneumonia;Lymphopenia;Community-Acquired Infections;Lymphopenia;Meningeal Neoplasms;Meningioma;Neuroendocrine Tumors;Organometallic Compounds;Lymphopenia;Laryngeal Neoplasms;Chemoradiotherapy;Oncolytic Virotherapy;Glioblastoma;Glioma;Lymphopenia;Saccharomyces cerevisiae Proteins;Wiskott-Aldrich Syndrome;Glioblastoma;Lymphopenia;Severe Combined Immunodeficiency;Lymphopenia;Epstein-Barr Virus Infections;Lymphopenia;T-Lymphocytes, Regulatory;Cell Differentiation;Wiskott-Aldrich Syndrome Protein;Thymus Gland;Cell Proliferation;COVID-19;Lymphopenia;Pneumonia, Pneumocystis;Kidney Transplantation;Pneumocystis carinii;Cytomegalovirus Infections;Lymphopenia;Thrombocytopenia;Multiple Sclerosis, Chronic Progressive;Multiple Sclerosis;Lymphopenia;Azetidines;Benzyl Compounds;Cytopenia;Lymphopenia;Multiple Myeloma;Neutropenia;Receptors, Chimeric Antigen;Thrombocytopenia;Lymphopenia;Esophageal Neoplasms;COVID-19;Lymphopenia;Neoplasms;Lymphopenia;Parvovirus, Canine;Parvoviridae Infections;Dog Diseases;Lymphopenia;Carcinoma, Non-Small-Cell Lung;Radiotherapy, Intensity-Modulated;Lung Neoplasms;Hospitalization;Proton Therapy;Chemoradiotherapy;Diarrhea Viruses, Bovine Viral;Diarrhea Virus 1, Bovine Viral;Lymphopenia;Saccharomyces cerevisiae Proteins;Wiskott-Aldrich Syndrome;Hematologic Diseases;Lupus Erythematosus, Systemic;Lymphopenia;Mucosal-Associated Invariant T Cells;COVID-19;Lymphopenia;Hypocalcemia;Nephrotic Syndrome;Hypothyroidism;Lymphopenia;Aldehyde-Lyases;COVID-19;Lymphopenia;Anemia;Thrombocytopenia;Carcinoma, Hepatocellular;Liver Neoplasms;Lymphopenia;Carcinoma, Hepatocellular;Liver Neoplasms;Leukopenia;Lymphopenia;Anemia;Cryptococcosis;T-Lymphocytopenia, Idiopathic CD4-Positive;Cryptococcus neoformans;Meningoencephalitis;Ischemic Stroke;Brain Injuries;Lymphopenia"
massive hepatic necrosis,"Massive Hepatic Necrosis;Fructose Intolerance;Congenital Disorders of Glycosylation;Lipopolysaccharides;Massive Hepatic Necrosis;Guanidines;Quinolines;Liver Transplantation;Massive Hepatic Necrosis;Hepatitis A;Anemia, Aplastic;Hepatitis;Hepatitis A;Liver Transplantation;Massive Hepatic Necrosis;Fluorodeoxyglucose F18;Massive Hepatic Necrosis;Massive Hepatic Necrosis;RNA-Binding Proteins;Massive Hepatic Necrosis;Hepatitis;Hepatitis A;Echovirus Infections;Hepatitis B, Chronic;Massive Hepatic Necrosis;Hepatitis A;Hepatitis B;Liver Transplantation;Massive Hepatic Necrosis;Liver Failure;Adenocarcinoma;Massive Hepatic Necrosis;Pancreatic Neoplasms;Hepatitis B virus;Massive Hepatic Necrosis;Massive Hepatic Necrosis;Liver Transplantation;Hepatitis, Autoimmune;Massive Hepatic Necrosis;Sepsis;CD8-Positive T-Lymphocytes;Massive Hepatic Necrosis;Epstein-Barr Virus Infections;Massive Hepatic Necrosis;Hepatitis, Viral, Human;Adenoviridae Infections;Jaundice;Lipopolysaccharides;Massive Hepatic Necrosis;Mushroom Poisoning;Massive Hepatic Necrosis;Liver Failure;Carcinoma, Hepatocellular;Hepatitis A;Hepatitis B;Hepatitis C;Liver Neoplasms;Massive Hepatic Necrosis;Chitosan;Massive Hepatic Necrosis;Nanoparticles;Hepatitis;Liver Failure, Acute;Massive Hepatic Necrosis;Adenoviridae Infections;Adenovirus Infections, Human;Adenoviruses, Human;Hepatitis, Viral, Human;Massive Hepatic Necrosis;COVID-19;Liver Transplantation;Massive Hepatic Necrosis;Massive Hepatic Necrosis;Metformin;Massive Hepatic Necrosis;Sepsis;Massive Hepatic Necrosis;Myeloid-Derived Suppressor Cells;Carcinoma, Non-Small-Cell Lung;Hepatitis B, Chronic;Lung Neoplasms;Massive Hepatic Necrosis;Hepatitis, Viral, Animal;Massive Hepatic Necrosis;Massive Hepatic Necrosis;Mesenchymal Stem Cells;Wharton Jelly;Forsythia;Fruit;Herpes Simplex;Herpesvirus 1, Human;Liver Failure, Acute;Massive Hepatic Necrosis;Breast Neoplasms;Massive Hepatic Necrosis;RNA, Messenger;Chemical and Drug Induced Liver Injury;Massive Hepatic Necrosis;Cholangitis;Hepatitis E;Hepatitis E virus;Liver Cirrhosis, Biliary;Massive Hepatic Necrosis;Disease Models, Animal;Conservative Treatment;Liver Transplantation;Laparoscopy;Massive Hepatic Necrosis;Obesity, Morbid;Protein-Energy Malnutrition;Selenium;Liver Transplantation;Pandemics;Cord Blood Stem Cell Transplantation"
meningoencephalitis,"Enterovirus Infections;Antibodies, Monoclonal;Antigens, CD20;Acute Febrile Encephalopathy;Pan troglodytes;Ape Diseases;Mycobacterium tuberculosis;Blindness;Meningoencephalitis;Cytarabine;Dog Diseases;Meningoencephalitis;Drug Therapy, Combination;Prednisolone;Dexamethasone;Naegleria fowleri;Central Nervous System Protozoal Infections;Lupus Vasculitis, Central Nervous System;Nomograms;Lupus Erythematosus, Systemic;Parechovirus;Picornaviridae Infections;Meningoencephalitis;Interleukin-6;Lupus Erythematosus, Systemic;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Lupus Vasculitis, Central Nervous System;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Fluorodeoxyglucose F18;Positron Emission Tomography Computed Tomography;Lupus Vasculitis, Central Nervous System;Lupus Vasculitis, Central Nervous System;Lupus Vasculitis, Central Nervous System;Cognitive Dysfunction;Lupus Erythematosus, Systemic;Diabetes Insipidus, Neurogenic;Hypernatremia;COVID-19;Diabetes Insipidus;Hyperglycemia;Meningoencephalitis;Diabetes Mellitus;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Dog Diseases;Meningoencephalitis;Recurrence;Locked-In Syndrome;Meningitis, Listeria;Meningoencephalitis;CD4-Positive T-Lymphocytes;Interferon-gamma;Microglia;Choroid Plexus;Lupus Vasculitis, Central Nervous System;Mice, Inbred MRL lpr;Disease Models, Animal;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;West Nile Fever;West Nile virus;Meningoencephalitis;Phlebovirus;Psychodidae;Phlebotomus;Meningoencephalitis;Stroke;Neoplasms;Meningoencephalitis;Borna Disease;Meningoencephalitis;Sepsis;Cryptococcosis;Cryptococcus neoformans;Meningoencephalitis;Fish Diseases;Meningoencephalitis;Nodaviridae;Electroencephalography;Recurrence;Seizures;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Encephalomyelitis;Autoimmune Diseases of the Nervous System;Meningoencephalitis;Meningoencephalitis;Myelitis;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Cognitive Dysfunction;Dog Diseases;Meningoencephalitis;Meningitis;Arteritis;Lupus Vasculitis, Central Nervous System;Mpox (monkeypox);Meningoencephalitis;Encephalitis;Induced Pluripotent Stem Cells;Meningoencephalitis;Acanthamoeba;Central Nervous System Protozoal Infections;Amebiasis;Meningoencephalitis;Spinal Cord Ischemia;Meningitis, Bacterial;Ischemic Attack, Transient;Meningoencephalitis;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Cryptococcosis;T-Lymphocytopenia, Idiopathic CD4-Positive;Cryptococcus neoformans;Meningoencephalitis;Behcet Syndrome;Tuberculosis, Meningeal;Meningoencephalitis;Meningoencephalitis;Viruses;Virus Diseases;Macrophage Activation Syndrome;Lupus Erythematosus, Systemic;Lupus Vasculitis, Central Nervous System;Anemia;Meningoencephalitis;Encephalomyelitis;Dog Diseases;Lupus Erythematosus, Systemic;Lupus Vasculitis, Central Nervous System;Retinal Vasculitis;Meningoencephalitis;Streptococcus suis;Streptococcal Infections;Meningoencephalitis;Meningoencephalitis;Herpesvirus 1, Cercopithecine;Meningoencephalitis;Central Nervous System Protozoal Infections;Naegleria fowleri;Amebiasis;Meningoencephalitis;Angiostrongylus cantonensis;Eosinophilia;Meningoencephalitis;Nematode Infections;Fusarium;Meningoencephalitis"
encephalitis,"Encephalitis;Enterovirus Infections;Antibodies, Monoclonal;Antigens, CD20;Hippocampus;Receptors, N-Methyl-D-Aspartate;Neurons;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Immunoglobulin G;Movement Disorders;Subacute Sclerosing Panencephalitis;Encephalitis Virus, Japanese;Encephalitis, Japanese;Swine Diseases;Autoantibodies;Receptors, N-Methyl-D-Aspartate;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Artesunate;Neuroprotective Agents;Disease Models, Animal;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Protein Kinases;Metronidazole;Crohn Disease;Encephalitis;Video Recording;COVID-19;Tremor;SARS-CoV-2;Brain Stem;Culex;Encephalitis Virus, Japanese;Mosquito Vectors;Encephalitis, Japanese;Acute Febrile Encephalopathy;Ubiquitin-Protein Ligases;Encephalitis, Herpes Simplex;Mutation;Herpesvirus 1, Human;CTLA-4 Antigen;Encephalitis;Hashimoto Disease;Autoantibodies;Receptors, AMPA;Haploinsufficiency;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Encephalitis;Glial Fibrillary Acidic Protein;Encephalitis;Autoantibodies;Tremor;Fragile X Syndrome;Ataxia;Encephalitis;Astrocytes;Encephalitis, Japanese;Encephalitis Virus, Japanese;Disease Progression;Disease Models, Animal;West Nile Fever;West Nile virus;Temperature;Mosquito Vectors;Seasons;Drugs, Chinese Herbal;Randomized Controlled Trials as Topic;Encephalitis, Viral;Pan troglodytes;Ape Diseases;Mycobacterium tuberculosis;Blindness;Meningoencephalitis;COVID-19;COVID-19 Vaccines;Leukemia, Lymphocytic, Chronic, B-Cell;Leukoencephalopathy, Progressive Multifocal;Mucormycosis;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Schizophrenia;Paraneoplastic Syndromes, Nervous System;Autoantibodies;Encephalitis;Hashimoto Disease;Edwardsiella tarda;Brain Abscess;Cerebral Ventriculitis;Enterobacteriaceae Infections;Neonatal Sepsis;Cytarabine;Dog Diseases;Meningoencephalitis;Drug Therapy, Combination;Prednisolone;Dexamethasone;Encephalitis;Hashimoto Disease;Encephalitis, Tick-Borne;Vaccination;Vaccination Coverage;Viral Vaccines;Immunocompromised Host;Picornaviridae Infections;Parechovirus;Macrophages;NADPH Oxidase 2;Mice, Inbred C57BL;Mice, Knockout;Subacute Sclerosing Panencephalitis;Electroencephalography;Encephalitis, Herpes Simplex;Autoimmune Diseases;Immunomodulating Agents;Leukoencephalopathy, Progressive Multifocal;HTLV-I Infections;Human T-lymphotropic virus 1;JC Virus;Coinfection;Mirtazapine;Brain;Naegleria fowleri;Central Nervous System Protozoal Infections;West Nile virus;West Nile Fever;Seasons;Antibodies, Viral;COVID-19;Encephalitis;Narcolepsy;Hashimoto Disease;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Heart Arrest;Cerebrovascular Circulation;Tomography, Emission-Computed, Single-Photon;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Multiple Sclerosis;Encephalitis;Length of Stay;Antipsychotic Agents;Virus Replication;Encephalitis Virus, Japanese;CRISPR-Cas Systems;RNA, Guide, CRISPR-Cas Systems;Encephalitis, Tick-Borne;Agammaglobulinemia;Encephalitis Viruses, Tick-Borne;Genetic Diseases, X-Linked;Immunoglobulin G;Antibodies, Viral;T-Lymphocytes;Lupus Vasculitis, Central Nervous System;Nomograms;Lupus Erythematosus, Systemic;Encephalitis Viruses, Tick-Borne;Phylogeny;Encephalitis, Tick-Borne;West Nile virus;Flavivirus;Flavivirus Infections;West Nile Fever;Birds;Encephalitis;Autoantibodies;Encephalitis Virus, California;Encephalitis, California;Encephalitis;Hashimoto Disease;Encephalitis;Autoantibodies;Hashimoto Disease"
mild encephalitis,"CTLA-4 Antigen;Encephalitis;Hashimoto Disease;Autoantibodies;Receptors, AMPA;Haploinsufficiency;Leukoencephalopathy, Progressive Multifocal;HTLV-I Infections;Human T-lymphotropic virus 1;JC Virus;Coinfection;Mirtazapine;Lupus Vasculitis, Central Nervous System;Nomograms;Lupus Erythematosus, Systemic;Encephalitis Virus, California;Encephalitis, California;Encephalitis, Tick-Borne;Antibodies, Viral;Immunoglobulin G;Encephalitis Viruses, Tick-Borne;Viral Vaccines;Diabetes Insipidus, Neurogenic;Hypernatremia;COVID-19;Diabetes Insipidus;Hyperglycemia;Meningoencephalitis;Diabetes Mellitus;Phlebovirus;Psychodidae;Phlebotomus;Meningoencephalitis;Lupus Vasculitis, Central Nervous System;Lupus Erythematosus, Systemic;Encephalomyelitis;Autoimmune Diseases of the Nervous System;Meningoencephalitis;Mpox (monkeypox);Meningoencephalitis;Encephalitis;West Nile Fever;West Nile virus;Common Cold;Coronavirus Infections;Central Nervous System Diseases;Coronavirus;Encephalitis;Enterovirus A, Human;Enterovirus Infections;Enterovirus;Encephalitis;Encephalitis, Tick-Borne;Ticks;Encephalitis Viruses, Tick-Borne;Dog Diseases;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Mental Disorders;Encephalitis, Tick-Borne;Encephalitis Viruses, Tick-Borne;Leukoencephalopathy, Progressive Multifocal;JC Virus;Miller Fisher Syndrome;COVID-19;Guillain-Barre Syndrome;Encephalitis;Ophthalmoplegia;Eye Diseases;Colitis, Ulcerative;Encephalitis;Ophthalmoplegia;Autoimmune Diseases of the Nervous System;Seizures, Febrile;Brain Diseases;Encephalitis;Encephalitis, Viral;Thymoma;Limbic Encephalitis;Thymus Neoplasms;Myasthenia Gravis;Paraneoplastic Syndromes;Encephalitis, Tick-Borne;Viral Vaccines;Encephalitis Viruses, Tick-Borne;West Nile virus;West Nile Fever;Culicidae;Autoimmune Diseases;HIV Infections;Leukoencephalopathy, Progressive Multifocal;Lupus Erythematosus, Systemic;Breast Neoplasms;Ovarian Neoplasms;Encephalitis;Cerebral Veins;Intracranial Hypertension;Meningoencephalitis;Seizures, Febrile;Brain Diseases;Encephalitis;COVID-19;Leukoencephalopathy, Progressive Multifocal;Liver Transplantation;JC Virus;Encephalitis;Hashimoto Disease;tau Proteins;Tramadol;Encephalitis;Encephalitis;Immunoglobulin G4-Related Disease;Papilledema;Meningoencephalitis;Optic Neuritis;Encephalitis;Glioma;Brain Diseases;Encephalitis;Influenza, Human;Encephalitis;Enterovirus Infections;Enterovirus;Brain Diseases;West Nile virus;West Nile Fever;Encephalitis, Tick-Borne;Brain Injuries;Leukoencephalopathy, Progressive Multifocal;JC Virus;Immune System Diseases;Epilepsy;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Brain Diseases;Encephalitis;COVID-19;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Neurology;Alzheimer Disease;Cognitive Dysfunction;Encephalitis;Orthobunyavirus;Bunyamwera virus;Bunyaviridae Infections;Encephalitis;West Nile virus;West Nile Fever;Neuroblastoma;Encephalitis;Hepatitis E;Hepatitis E virus;Meningoencephalitis;Rabies;West Nile virus;Poultry Diseases;West Nile Fever;West Nile virus;West Nile Fever;Insect Bites and Stings;Culex;West Nile virus;West Nile Fever;Parechovirus;Picornaviridae Infections;Epilepsy;Status Epilepticus;Epileptic Syndromes;Encephalitis;Brain Diseases;Encephalitis"

muscle cramp,"Muscle Cramp;Muscle Cramp;Acupuncture Therapy;Renal Dialysis;Leg;Muscle Cramp;Spider Bites;Spiders;Rhabdomyolysis;Lymphoma, Non-Hodgkin;Peripheral Nervous System Diseases;Neoplasms;Leg;Cataract;Functional Food;Dermatitis;Sleep-Wake Transition Disorders;Nutrition Therapy;Bronchiolitis Obliterans Syndrome;Graft vs Host Disease;Water;Water-Electrolyte Balance;Glycogen Storage Disease Type V;Spinal Stenosis;Orphenadrine;Muscle Cramp;Isaacs Syndrome;Myokymia;Machado-Joseph Disease;Cardiovascular Diseases;Musculoskeletal Pain;Hypertension;Chronic Pain;Erectile Dysfunction;Premature Ejaculation;Muscle Cramp;Dysmenorrhea;Muscle Cramp;Liver Diseases;Muscle Cramp;Muscle Stretching Exercises;Muscle Cramp;Leg;Muscle Cramp;Skating;Dysmenorrhea;Contraceptives, Oral, Combined;Amyotrophic Lateral Sclerosis;Drugs, Chinese Herbal;Thigh;Acute Pain;Myositis;Gefitinib;Lung Neoplasms;Carboplatin;Pemetrexed;Carcinoma, Non-Small-Cell Lung;Muscle Cramp;Sweating;Muscle Cramp;Fermented Foods;Hyponatremia;Liver Cirrhosis;Muscle Cramp;Drug-Related Side Effects and Adverse Reactions;Renal Dialysis;Kidney Failure, Chronic;Hypnotics and Sedatives;Propofol;Skating;Movement Disorders;Aneurysm;Kidney Diseases;Rhabdomyolysis;Exercise;Muscle Cramp;Renal Dialysis;Quinine;Muscle Cramp;Muscle Cramp;Restless Legs Syndrome;Muscle Cramp;Leg;Muscle Cramp;Skating;Muscle Cramp;Hypersensitivity;Muscle Cramp;Contracture;Metformin;Diabetes Mellitus, Type 2;Acidosis, Lactic;Nuns;Vitamin B 12 Deficiency;Drug-Related Side Effects and Adverse Reactions;Hypoglycemia;Hypersensitivity;Methimazole;Hyperthyroidism;Muscle Cramp;Muscle Cramp;Aneurysm;Deglutition Disorders;Medicine;Renal Insufficiency, Chronic;Kidney Failure, Chronic;Malignant Hyperthermia;Ryanodine Receptor Calcium Release Channel"
muscle weakness,"Muscular Dystrophies;Mutation;Muscle Weakness;Intensive Care Units;Muscle Weakness;Vibration;Shock, Septic;Myoglobin;Intensive Care Units;Biomarkers;Muscle Weakness;Stroke Rehabilitation;Robotics;Gait Disorders, Neurologic;Paresis;Stroke;Virtual Reality;Postural Balance;Stroke;Paresis;Stroke Rehabilitation;Virtual Reality;Stroke;Emergency Service, Hospital;Hyperkalemia;Aortic Coarctation;Paraparesis;Postoperative Complications;Amyotrophic Lateral Sclerosis;Exoskeleton Device;Neck Muscles;Metabolic Syndrome;Hand Strength;Muscle Weakness;Muscular Diseases;Physical Examination;Anemia, Sickle Cell;Muscle Weakness;Muscle Weakness;Lower Extremity;Tennis;Pulmonary Disease, Chronic Obstructive;Muscle Strength;Insulin-Like Growth Factor I;Respiratory Muscles;Insulin-Like Growth Factor II;Genotype;Oxidative Stress;Tuberculosis, Meningeal;Fever;Muscle Weakness;Antitubercular Agents;Hand Strength;Nutrition Surveys;Muscle Weakness;Cognitive Dysfunction;Muscle Weakness;Thyrotoxicosis;Hypokalemic Periodic Paralysis;Glycogen Storage Disease Type II;Diaphragm;Muscle Weakness;Phrenic Nerve;Motor Neurons;Electromyography;Tremor;Activities of Daily Living;Robotics;Virtual Reality;Ryanodine Receptor Calcium Release Channel;Muscle Weakness;Hypertension, Pulmonary;Respiratory Insufficiency;Pulmonary Disease, Chronic Obstructive;Quality of Life;Ischemic Stroke;Stroke;Neck Muscles;Muscle Strength;Isometric Contraction;Myopathies, Nemaline;Urea;Paraparesis, Spastic;Spastic Paraplegia, Hereditary;Activities of Daily Living;Walking;Exanthema;Gastric Dilatation;Gastroparesis;Herpes Zoster;Fingers;Proprioception;Stroke;Upper Extremity;Guillain-Barre Syndrome;Papilledema;Dystonia;Cerebellar Ataxia;Muscle Weakness;Mitochondrial Diseases;Persian Gulf Syndrome;Veterans;Phrenic Nerve;Diaphragm;Postoperative Complications;Thoracic Surgical Procedures;Muscle Weakness;Guillain-Barre Syndrome;Muscle Weakness;Quality of Life;Muscle Strength;Anterior Cruciate Ligament Injuries;Hip;Hand Strength;Muscle Strength;Paraparesis, Spastic;Vertebrobasilar Insufficiency;Muscle Weakness;Hypertension;COVID-19;Frailty;Nervous System Diseases;Dyskinesias;Diaphragm;Muscle Weakness;Myocarditis;Myositis;Nitriles;Pyrazoles;Pyrimidines;Low-Level Light Therapy;Nervous System Diseases;Respiratory Muscles;Chagas Cardiomyopathy;Lambert-Eaton Myasthenic Syndrome;Autonomic Nervous System Diseases;Spinal Cord Stimulation;Stroke;Neural Networks, Computer;Stroke;Charcot-Marie-Tooth Disease;Genome-Wide Association Study;Guillain-Barre Syndrome;Hemorrhagic Fever with Renal Syndrome;Hantavirus Infections"
